model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9609018342785981,1,0.9620529337347163,161.3188865184784
share-gine-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.7592389008740975,35,0.7171075430853526,1172.440925359726
share-gine-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0.43541325821305304,33,0.4163942866633069,1147.1234140396118
share-gine-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0.16561035988302697,37,0.12841211389430593,1237.397299528122
share-gine-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0.11041985954869199,39,0.08418216981889505,1304.6119937896729
share-gine-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9581197618249421,31,0.9533691319638085,598.1156857013702
share-gine-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0.78553686197626,49,0.7516428294760225,1501.2894158363342
share-gine-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0.4079870667994276,41,0.3488002333106701,1548.6604273319244
share-gine-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.0687490581837175,480.07259798049927
share-gine-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.0336971074465344,467.7245845794678
