model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.84169953154098,17,0.8304906733909098,151.1454951763153
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0,0,0.02742369787137072,396.2699468135834
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0,0,0.018307819057299946,477.58658814430237
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.010655109438664339,508.3210322856903
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.03607138521633698,415.3502926826477
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.8412433151421005,22,0.8217221035651728,176.6720733642578
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0.4816160462298953,31,0.4821574703247374,961.7141103744507
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0.1938102196800471,26,0.2002660869315803,877.7597601413727
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.04020790117827981,413.500203371048
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.01915043330974679,410.6949541568756
