model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale-mlp1-dc_lr0.001,edi3,0.0,0,3,0.8368794326241135,0.1740119737075929,14.023815393447876,-1.0
pale-mlp1-dc_lr0.001,edi3,0.05,0,3,0.7801418439716312,0.026536577211162704,17.979083220163982,-1.0
pale-mlp1-dc_lr0.001,edi3,0.1,0,3,0.6453900709219859,0.12567407905439254,15.95133384068807,-1.0
pale-mlp1-dc_lr0.001,edi3,0.2,0,3,0.3900709219858156,0.0610093990570399,15.621429204940796,-1.0
pale-mlp1-dc_lr0.001,edi3,0.25,0,3,0.34042553191489366,0.12527320377769996,19.183552821477253,-1.0
pale-mlp1-dc_lr0.001,edi3,0,0.0,3,0.9078014184397163,0.0702091839476005,15.571304480234781,-1.0
pale-mlp1-dc_lr0.001,edi3,0,0.05,3,0.6099290780141844,0.055844027475261064,13.244487206141153,-1.0
pale-mlp1-dc_lr0.001,edi3,0,0.1,3,0.624113475177305,0.0610093990570399,14.912165641784668,-1.0
pale-mlp1-dc_lr0.001,edi3,0,0.2,3,0.3829787234042554,0.06948907071725328,12.723438501358032,-1.0
pale-mlp1-dc_lr0.001,edi3,0,0.25,3,0.2765957446808511,0.06948907071725328,12.772024472554525,-1.0
