model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.0,20,0.9506898408866965,0.01965422831043604,6.057335996627808,94.75
share-gine2-msgm-ed256-nl4,bn1000,0.05,0.0,20,0.43724004772412683,0.14801309330278536,4.039192795753479,57.85
share-gine2-msgm-ed256-nl4,bn1000,0.1,0.0,20,0.17689025589386437,0.05611277739488668,2.97120680809021,48.9
share-gine2-msgm-ed256-nl4,bn1000,0.2,0.0,20,0.04736632671064752,0.017304293970704987,2.5746145725250242,41.75
share-gine2-msgm-ed256-nl4,bn1000,0.25,0.0,20,0.029024624504856655,0.010072331802336491,1.8937536120414733,24.85
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.0,20,0.9548504116892117,0.01665107816610456,4.9822534084320065,107.6
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.05,20,0.541004041949858,0.12608691872705563,3.0164332509040834,57.1
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.1,20,0.27916553732846666,0.07225939061977303,2.758106994628906,52.6
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.2,20,0.05741835965712187,0.018039809357752932,2.2379796385765074,40.15
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.25,20,0.03340274811980602,0.014194128381190657,1.6232938408851623,24.65
