1 1 100/100
9_45_55_59_62 9_45_55_59_62 100/100
31 31 100/100
47 47 100/100
3_6_14_48 3_6_14_48 100/100
33 33 100/100
35 35 100/100
77 77 100/100
53 53 100/100
68_86 68_86 100/100
2_12_19 2_12_19 100/100
88 88 100/100
72_81 72_81 100/100
37 71 97/100
21_26_51_60 84 97/100
67 65 96/100
84 75 94/100
71 23_69_73 94/100
16_25_49 16_25_49 91/100
74 4_5_28_38_46 91/100
90 90 87/100
8_44 40 86/100
75 20 85/100
91 29_36_52_63 84/100
78 66 81/100
56 21_26_51_60 79/100
7_32 7_32 78/100
85 78 75/100
41 10_27 72/100
89 13_43 69/100
34 18 67/100
70_79_83 17 67/100
29_36_52_63 85 64/100
64 64 62/100
20 50 61/100
30 70_79_83 61/100
65 24 60/100
82 30 58/100
13_43 67 58/100
66 54 57/100
87 8_44 55/100
10_27 87 54/100
24 37 52/100
11 74 51/100
54 91 49/100
23_69_73 42 47/100
22_39_58 11 43/100
10_27 22_39_58 43/100
40 56 41/100
18 22_39_58 40/100
80 56 40/100
24 30 37/100
4_5_28_38_46 41 36/100
61 61 34/100
80 76 34/100
18 87 34/100
17 91 31/100
30 74 29/100
23_69_73 37 29/100
40 8_44 28/100
42 80 28/100
76 34 28/100
13_43 85 26/100
15_57 80 26/100
70_79_83 89 25/100
22_39_58 61 25/100
76 82 25/100
82 82 25/100
64 11 25/100
41 41 25/100
50 82 24/100
11 11 22/100
50 54 21/100
15_57 34 21/100
34 67 21/100
50 42 21/100
61 80 20/100
87 89 20/100
61 64 20/100
17 89 20/100
17 15_57 18/100
4_5_28_38_46 76 18/100
20 41 18/100
15_57 42 18/100
4_5_28_38_46 7_32 17/100
7_32 78 17/100
13_43 74 16/100
18 21_26_51_60 16/100
50 15_57 16/100
42 18 16/100
29_36_52_63 61 15/100
56 40 14/100
4_5_28_38_46 50 14/100
82 15_57 14/100
61 24 14/100
23_69_73 50 14/100
76 15_57 13/100
15_57 15_57 13/100
65 22_39_58 13/100
15_57 76 12/100
85 89 12/100
91 41 12/100
42 67 12/100
76 8_44 12/100
42 20 12/100
34 34 12/100
17 80 12/100
76 70_79_83 12/100
89 82 11/100
4_5_28_38_46 29_36_52_63 11/100
20 37 11/100
54 56 11/100
42 17 11/100
66 66 11/100
54 10_27 10/100
24 87 10/100
75 17 10/100
85 61 9/100
90 70_79_83 9/100
22_39_58 76 9/100
65 89 9/100
54 76 9/100
17 70_79_83 9/100
40 10_27 9/100
74 64 9/100
87 17 8/100
8_44 85 8/100
50 13_43 8/100
30 90 8/100
29_36_52_63 54 8/100
66 61 8/100
20 76 8/100
11 66 8/100
11 13_43 8/100
78 11 8/100
42 34 7/100
29_36_52_63 67 7/100
64 24 7/100
80 15_57 7/100
80 34 6/100
65 91 6/100
66 34 6/100
40 34 6/100
66 24 5/100
17 13_43 5/100
16_25_49 41 5/100
80 91 5/100
29_36_52_63 34 5/100
75 90 5/100
11 61 5/100
22_39_58 89 5/100
42 42 5/100
22_39_58 24 5/100
7_32 16_25_49 5/100
80 18 5/100
64 4_5_28_38_46 5/100
40 29_36_52_63 4/100
90 82 4/100
17 76 4/100
18 18 4/100
78 64 4/100
15_57 10_27 4/100
87 82 4/100
50 34 4/100
78 78 4/100
18 54 4/100
42 8_44 4/100
50 91 4/100
54 24 4/100
22_39_58 15_57 4/100
65 15_57 3/100
41 16_25_49 3/100
66 13_43 3/100
54 42 3/100
89 74 3/100
40 21_26_51_60 3/100
61 89 3/100
87 18 3/100
23_69_73 30 3/100
89 24 3/100
84 13_43 3/100
89 22_39_58 3/100
