1 61
4_5_28_38_46 71
9_45_55_59_62 16_25_49
11 11
16_25_49 80
20 30
22_39_58 88
24 91
31 31
7_32 72_81
37 90
47 47
82 68_86
91 24
3_6_14_48 84
8_44 42
10_27 10_27
18 18
33 82
35 3_6_14_48
29_36_52_63 50
56 41
65 20
77 35
84 8_44
40 75
53 65
61 4_5_28_38_46
64 1
71 17
23_69_73 29_36_52_63
21_26_51_60 21_26_51_60
34 37
41 22_39_58
67 70_79_83
68_86 87
85 53
2_12_19 7_32
78 78
50 56
66 85
88 33
89 89
72_81 15_57
74 74
42 23_69_73
13_43 77
17 76
15_57 66
30 9_45_55_59_62
54 54
76 2_12_19
80 64
90 34
87 40
75 67
70_79_83 13_43
