1 13_43
4_5_28_38_46 40
9_45_55_59_62 2_12_19
11 61
16_25_49 71
20 88
22_39_58 37
24 50
31 1
7_32 9_45_55_59_62
37 33
47 78
82 75
91 65
3_6_14_48 21_26_51_60
8_44 10_27
10_27 91
18 66
33 35
35 84
29_36_52_63 11
56 56
65 41
77 54
84 85
40 82
53 67
61 3_6_14_48
64 68_86
71 31
23_69_73 42
21_26_51_60 18
34 4_5_28_38_46
41 8_44
67 77
68_86 7_32
85 23_69_73
2_12_19 80
78 47
50 16_25_49
66 76
88 24
89 29_36_52_63
72_81 22_39_58
74 53
42 90
13_43 72_81
17 74
15_57 70_79_83
30 87
54 34
76 89
80 64
90 15_57
87 30
75 17
70_79_83 20
