1 9_45_55_59_62
4_5_28_38_46 61
9_45_55_59_62 7_32
11 16_25_49
16_25_49 47
20 42
22_39_58 72_81
24 76
31 53
7_32 1
37 20
47 11
82 82
91 18
3_6_14_48 85
8_44 8_44
10_27 41
18 13_43
33 33
35 88
29_36_52_63 29_36_52_63
56 84
65 65
77 77
84 56
40 40
53 31
61 71
64 64
71 67
23_69_73 50
21_26_51_60 21_26_51_60
34 34
41 10_27
67 70_79_83
68_86 68_86
85 3_6_14_48
2_12_19 2_12_19
78 78
50 17
66 35
88 75
89 80
72_81 37
74 74
42 89
13_43 91
17 15_57
15_57 24
30 22_39_58
54 90
76 30
80 4_5_28_38_46
90 23_69_73
87 87
75 66
70_79_83 54
