1 29_36_52_63
4_5_28_38_46 22_39_58
9_45_55_59_62 30
11 54
16_25_49 20
20 4_5_28_38_46
22_39_58 17
24 50
31 40
7_32 9_45_55_59_62
37 77
47 76
82 23_69_73
91 33
3_6_14_48 31
8_44 11
10_27 85
18 78
33 35
35 61
29_36_52_63 68_86
56 18
65 67
77 65
84 8_44
40 80
53 7_32
61 2_12_19
64 41
71 74
23_69_73 47
21_26_51_60 10_27
34 82
41 24
67 37
68_86 87
85 89
2_12_19 15_57
78 66
50 42
66 84
88 91
89 21_26_51_60
72_81 72_81
74 53
42 90
13_43 70_79_83
17 16_25_49
15_57 71
30 13_43
54 34
76 56
80 88
90 64
87 1
75 75
70_79_83 3_6_14_48
