1 11
4_5_28_38_46 53
9_45_55_59_62 1
11 78
16_25_49 7_32
20 31
22_39_58 4_5_28_38_46
24 30
31 34
7_32 9_45_55_59_62
37 47
47 42
82 68_86
91 18
3_6_14_48 50
8_44 41
10_27 37
18 90
33 10_27
35 67
29_36_52_63 24
56 56
65 77
77 35
84 91
40 66
53 16_25_49
61 71
64 87
71 54
23_69_73 61
21_26_51_60 85
34 72_81
41 20
67 65
68_86 82
85 33
2_12_19 2_12_19
78 75
50 17
66 88
88 8_44
89 23_69_73
72_81 84
74 21_26_51_60
42 15_57
13_43 22_39_58
17 74
15_57 76
30 3_6_14_48
54 70_79_83
76 80
80 89
90 13_43
87 40
75 29_36_52_63
70_79_83 64
