1 31
4_5_28_38_46 4_5_28_38_46
9_45_55_59_62 9_45_55_59_62
11 11
16_25_49 8_44
20 20
22_39_58 71
24 89
31 41
7_32 1
37 37
47 47
82 82
91 10_27
3_6_14_48 7_32
8_44 34
10_27 13_43
18 18
33 33
35 40
29_36_52_63 29_36_52_63
56 56
65 74
77 65
84 84
40 68_86
53 53
61 61
64 76
71 50
23_69_73 23_69_73
21_26_51_60 66
34 70_79_83
41 21_26_51_60
67 77
68_86 64
85 91
2_12_19 2_12_19
78 78
50 17
66 72_81
88 88
89 3_6_14_48
72_81 16_25_49
74 80
42 42
13_43 85
17 22_39_58
15_57 15_57
30 30
54 54
76 67
80 35
90 90
87 87
75 75
70_79_83 24
