1 89
4_5_28_38_46 23_69_73
9_45_55_59_62 9_45_55_59_62
11 66
16_25_49 35
20 4_5_28_38_46
22_39_58 22_39_58
24 65
31 13_43
7_32 21_26_51_60
37 61
47 54
82 90
91 85
3_6_14_48 16_25_49
8_44 77
10_27 91
18 33
33 29_36_52_63
35 68_86
29_36_52_63 11
56 64
65 10_27
77 50
84 8_44
40 40
53 31
61 20
64 47
71 71
23_69_73 18
21_26_51_60 67
34 30
41 24
67 37
68_86 80
85 17
2_12_19 87
78 42
50 41
66 53
88 84
89 1
72_81 72_81
74 78
42 74
13_43 76
17 75
15_57 88
30 2_12_19
54 34
76 56
80 3_6_14_48
90 7_32
87 82
75 70_79_83
70_79_83 15_57
