1 74
4_5_28_38_46 15_57
9_45_55_59_62 7_32
11 72_81
16_25_49 3_6_14_48
20 16_25_49
22_39_58 4_5_28_38_46
24 68_86
31 40
7_32 9_45_55_59_62
37 67
47 47
82 75
91 66
3_6_14_48 31
8_44 11
10_27 84
18 54
33 24
35 42
29_36_52_63 34
56 90
65 89
77 50
84 78
40 82
53 56
61 88
64 61
71 64
23_69_73 65
21_26_51_60 18
34 35
41 41
67 21_26_51_60
68_86 20
85 53
2_12_19 87
78 77
50 10_27
66 37
88 91
89 8_44
72_81 71
74 76
42 23_69_73
13_43 22_39_58
17 33
15_57 2_12_19
30 30
54 85
76 17
80 80
90 70_79_83
87 29_36_52_63
75 1
70_79_83 13_43
