1 85
4_5_28_38_46 29_36_52_63
9_45_55_59_62 17
11 21_26_51_60
16_25_49 64
20 89
22_39_58 22_39_58
24 40
31 80
7_32 7_32
37 61
47 47
82 53
91 65
3_6_14_48 56
8_44 42
10_27 67
18 78
33 37
35 88
29_36_52_63 33
56 66
65 20
77 54
84 77
40 30
53 76
61 4_5_28_38_46
64 18
71 1
23_69_73 11
21_26_51_60 10_27
34 70_79_83
41 84
67 90
68_86 75
85 50
2_12_19 34
78 35
50 91
66 8_44
88 24
89 9_45_55_59_62
72_81 74
74 3_6_14_48
42 23_69_73
13_43 71
17 13_43
15_57 72_81
30 2_12_19
54 16_25_49
76 68_86
80 31
90 15_57
87 41
75 82
70_79_83 87
