1 22_39_58
4_5_28_38_46 23_69_73
9_45_55_59_62 89
11 21_26_51_60
16_25_49 87
20 9_45_55_59_62
22_39_58 31
24 50
31 42
7_32 3_6_14_48
37 74
47 34
82 64
91 80
3_6_14_48 78
8_44 65
10_27 33
18 18
33 85
35 40
29_36_52_63 68_86
56 56
65 11
77 41
84 10_27
40 17
53 4_5_28_38_46
61 30
64 29_36_52_63
71 47
23_69_73 61
21_26_51_60 67
34 2_12_19
41 8_44
67 16_25_49
68_86 35
85 70_79_83
2_12_19 15_57
78 77
50 66
66 24
88 84
89 82
72_81 71
74 91
42 13_43
13_43 53
17 37
15_57 75
30 72_81
54 90
76 1
80 7_32
90 88
87 20
75 76
70_79_83 54
