1 65
4_5_28_38_46 31
9_45_55_59_62 74
11 17
16_25_49 80
20 13_43
22_39_58 29_36_52_63
24 20
31 71
7_32 7_32
37 24
47 47
82 33
91 8_44
3_6_14_48 42
8_44 85
10_27 84
18 66
33 78
35 67
29_36_52_63 90
56 41
65 53
77 88
84 56
40 70_79_83
53 76
61 16_25_49
64 1
71 54
23_69_73 2_12_19
21_26_51_60 87
34 68_86
41 10_27
67 50
68_86 75
85 64
2_12_19 89
78 40
50 37
66 77
88 21_26_51_60
89 23_69_73
72_81 15_57
74 18
42 11
13_43 22_39_58
17 9_45_55_59_62
15_57 82
30 35
54 30
76 61
80 4_5_28_38_46
90 34
87 91
75 3_6_14_48
70_79_83 72_81
