1 2_12_19
4_5_28_38_46 74
9_45_55_59_62 4_5_28_38_46
11 65
16_25_49 82
20 29_36_52_63
22_39_58 89
24 85
31 17
7_32 80
37 20
47 21_26_51_60
82 70_79_83
91 8_44
3_6_14_48 37
8_44 33
10_27 11
18 56
33 30
35 84
29_36_52_63 18
56 23_69_73
65 40
77 50
84 54
40 31
53 68_86
61 7_32
64 77
71 88
23_69_73 66
21_26_51_60 10_27
34 76
41 35
67 53
68_86 9_45_55_59_62
85 1
2_12_19 64
78 78
50 42
66 47
88 67
89 16_25_49
72_81 15_57
74 24
42 91
13_43 22_39_58
17 41
15_57 34
30 75
54 90
76 61
80 71
90 13_43
87 3_6_14_48
75 87
70_79_83 72_81
