1 76
4_5_28_38_46 23_69_73
9_45_55_59_62 2_12_19
11 11
16_25_49 78
20 50
22_39_58 34
24 85
31 72_81
7_32 16_25_49
37 37
47 47
82 15_57
91 91
3_6_14_48 3_6_14_48
8_44 9_45_55_59_62
10_27 10_27
18 18
33 1
35 13_43
29_36_52_63 35
56 56
65 65
77 80
84 84
40 71
53 4_5_28_38_46
61 29_36_52_63
64 64
71 61
23_69_73 70_79_83
21_26_51_60 21_26_51_60
34 17
41 41
67 40
68_86 68_86
85 77
2_12_19 7_32
78 53
50 24
66 66
88 88
89 87
72_81 31
74 74
42 42
13_43 20
17 22_39_58
15_57 89
30 30
54 54
76 90
80 67
90 33
87 8_44
75 75
70_79_83 82
