1 3_6_14_48
4_5_28_38_46 15_57
9_45_55_59_62 40
11 54
16_25_49 4_5_28_38_46
20 90
22_39_58 76
24 42
31 1
7_32 11
37 34
47 77
82 13_43
91 10_27
3_6_14_48 64
8_44 68_86
10_27 66
18 91
33 41
35 61
29_36_52_63 17
56 78
65 21_26_51_60
77 75
84 84
40 35
53 53
61 22_39_58
64 89
71 71
23_69_73 23_69_73
21_26_51_60 16_25_49
34 87
41 37
67 80
68_86 7_32
85 50
2_12_19 82
78 65
50 18
66 8_44
88 24
89 31
72_81 70_79_83
74 74
42 85
13_43 2_12_19
17 67
15_57 72_81
30 30
54 33
76 47
80 9_45_55_59_62
90 88
87 29_36_52_63
75 56
70_79_83 20
