1 84
4_5_28_38_46 71
9_45_55_59_62 70_79_83
11 11
16_25_49 64
20 4_5_28_38_46
22_39_58 76
24 40
31 31
7_32 21_26_51_60
37 35
47 47
82 16_25_49
91 29_36_52_63
3_6_14_48 13_43
8_44 8_44
10_27 10_27
18 24
33 80
35 3_6_14_48
29_36_52_63 50
56 41
65 75
77 67
84 56
40 87
53 65
61 7_32
64 72_81
71 90
23_69_73 61
21_26_51_60 18
34 37
41 42
67 54
68_86 1
85 68_86
2_12_19 88
78 78
50 77
66 85
88 33
89 89
72_81 15_57
74 74
42 23_69_73
13_43 22_39_58
17 9_45_55_59_62
15_57 66
30 17
54 30
76 53
80 2_12_19
90 34
87 20
75 91
70_79_83 82
