01 74_75
3_6_14_48 87
4_5_28_38_46 9_45_59_62
07 7_25_32
11 30
16_25_49 28
32 01
29_36_52_63 16_49
37 23_69_73
47 24
70 68_86
78 78
22_39_58 70
24 54
33 33
35 35
65 8_44
71 71
77 91
67_79_83_85 2_12
84 10
87 20
40 76
53 27
31_55_62 3_6_14_48
61 21_26_51
64 15_57
69_73 29
9_45_59 31_55
89 36_52_63
8_44 79_83_85
10_27 64
20 90
21_26_51_60 88
56 18
66_68_86 11
75_88 77
90 40
2_12_19 17
41 60
18 19
42 65
50 41
13_43 22_39_58
82 80
15_34_57 13_43
17 37
23 34
30 50
54 84
76 53
80 66
74 47
91 56
72_81 82
