model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar_gcn_linear,edi3,0.0,0.0,10,0.20212765957446804,0.04781320224307283,5.433861351013183
ar_gcn_linear,edi3,0.0,0.05,10,0.07659574468085106,0.028860978651596886,5.346851110458374
ar_gcn_linear,edi3,0.0,0.1,10,0.07234042553191489,0.03038905714273553,5.58591468334198
ar_gcn_linear,edi3,0.0,0.2,10,0.05744680851063829,0.02699697349031813,5.986414790153503
ar_gcn_linear,edi3,0.0,0.25,10,0.05957446808510638,0.029787234042553193,5.314175629615784
ar_gcn_linear,edi3,0.05,0.0,10,0.036170212765957444,0.019148936170212766,5.106114244461059
ar_gcn_linear,edi3,0.05,0.05,10,0.034042553191489355,0.027247337180565313,6.053889322280884
ar_gcn_linear,edi3,0.05,0.1,10,0.03829787234042553,0.034042553191489355,4.868804025650024
ar_gcn_linear,edi3,0.05,0.2,10,0.042553191489361694,0.028545548648933484,5.010856437683105
ar_gcn_linear,edi3,0.05,0.25,10,0.019148936170212766,0.02597139492709298,5.398483109474182
ar_gcn_linear,edi3,0.1,0.0,10,0.04680851063829787,0.024812561254660852,6.004572439193725
ar_gcn_linear,edi3,0.1,0.05,10,0.019148936170212766,0.022213418104065,5.464789509773254
ar_gcn_linear,edi3,0.1,0.1,10,0.038297872340425525,0.02978723404255319,6.247546863555908
ar_gcn_linear,edi3,0.1,0.2,10,0.02553191489361702,0.029787234042553193,5.987755227088928
ar_gcn_linear,edi3,0.1,0.25,10,0.042553191489361694,0.02127659574468085,4.78466534614563
ar_gcn_linear,edi3,0.2,0.0,10,0.02978723404255319,0.023692614309914983,5.934787106513977
ar_gcn_linear,edi3,0.2,0.05,10,0.031914893617021274,0.021802022906297017,6.3588474035263065
ar_gcn_linear,edi3,0.2,0.1,10,0.04468085106382978,0.03219733180940757,6.891309094429016
ar_gcn_linear,edi3,0.2,0.2,10,0.023404255319148935,0.020072300280971497,6.19139039516449
ar_gcn_linear,edi3,0.2,0.25,10,0.027659574468085108,0.01661755250192905,6.361619019508362
ar_gcn_linear,edi3,0.25,0.0,10,0.01702127659574468,0.015921946326697623,6.1023268699646
ar_gcn_linear,edi3,0.25,0.05,10,0.038297872340425525,0.034042553191489355,6.293978333473206
ar_gcn_linear,edi3,0.25,0.1,10,0.034042553191489355,0.02886097865159689,6.8526931524276735
ar_gcn_linear,edi3,0.25,0.2,10,0.02978723404255319,0.021697955376990572,6.778446698188782
ar_gcn_linear,edi3,0.25,0.25,10,0.029787234042553186,0.02553191489361702,6.28098886013031
