model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar_gcn_mlp,edi3,0.0,0.0,10,0.01276595744680851,0.014113296980235744,12.84867422580719
ar_gcn_mlp,edi3,0.0,0.05,10,0.00425531914893617,0.00851063829787234,13.008170342445373
ar_gcn_mlp,edi3,0.0,0.1,10,0.002127659574468085,0.006382978723404255,12.722602939605713
ar_gcn_mlp,edi3,0.0,0.2,10,0.00851063829787234,0.01042336060758799,12.512753820419311
ar_gcn_mlp,edi3,0.0,0.25,10,0.014893617021276595,0.013623668590282656,12.356811356544494
ar_gcn_mlp,edi3,0.05,0.0,10,0.00425531914893617,0.00851063829787234,12.685174298286437
ar_gcn_mlp,edi3,0.05,0.05,10,0.00851063829787234,0.014113296980235742,13.406586599349975
ar_gcn_mlp,edi3,0.05,0.1,10,0.014893617021276595,0.01661755250192905,12.6160076379776
ar_gcn_mlp,edi3,0.05,0.2,10,0.010638297872340425,0.014272774324466744,12.509050631523133
ar_gcn_mlp,edi3,0.05,0.25,10,0.00425531914893617,0.00851063829787234,11.938944268226624
ar_gcn_mlp,edi3,0.1,0.0,10,0.01276595744680851,0.014113296980235742,13.557414317131043
ar_gcn_mlp,edi3,0.1,0.05,10,0.00851063829787234,0.010423360607587992,12.448326301574706
ar_gcn_mlp,edi3,0.1,0.1,10,0.006382978723404255,0.019148936170212762,13.149288702011109
ar_gcn_mlp,edi3,0.1,0.2,10,0.010638297872340424,0.014272774324466742,11.762525391578674
ar_gcn_mlp,edi3,0.1,0.25,10,0.010638297872340425,0.014272774324466744,12.708702516555785
ar_gcn_mlp,edi3,0.2,0.0,10,0.014893617021276595,0.019148936170212766,13.868397402763367
ar_gcn_mlp,edi3,0.2,0.05,10,0.00851063829787234,0.014113296980235742,13.34811246395111
ar_gcn_mlp,edi3,0.2,0.1,10,0.002127659574468085,0.006382978723404255,12.860029935836792
ar_gcn_mlp,edi3,0.2,0.2,10,0.00851063829787234,0.014113296980235744,13.221199655532837
ar_gcn_mlp,edi3,0.2,0.25,10,0.021276595744680847,0.025174807587657944,12.535172915458679
ar_gcn_mlp,edi3,0.25,0.0,10,0.01702127659574468,0.01592194632669762,13.82542426586151
ar_gcn_mlp,edi3,0.25,0.05,10,0.014893617021276595,0.01661755250192905,13.331219172477722
ar_gcn_mlp,edi3,0.25,0.1,10,0.01276595744680851,0.014113296980235744,13.057872748374939
ar_gcn_mlp,edi3,0.25,0.2,10,0.014893617021276595,0.013623668590282656,13.226700472831727
ar_gcn_mlp,edi3,0.25,0.25,10,0.014893617021276595,0.021382714087491254,12.443591976165772
