model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar,edi3,0.0,0.0,10,1.0,0.0,0.5405604839324951
ar,edi3,0.0,0.05,10,0.2833333333333333,0.10671873729054748,0.6239838123321533
ar,edi3,0.0,0.1,10,0.26666666666666666,0.11055415967851333,0.6021010160446167
ar,edi3,0.0,0.2,10,0.18333333333333332,0.097182531580755,0.627647089958191
ar,edi3,0.0,0.25,10,0.16666666666666669,0.08333333333333334,0.5858004331588745
ar,edi3,0.05,0.0,10,0.2916666666666667,0.09316949906249124,0.6298527002334595
ar,edi3,0.05,0.05,10,0.2916666666666667,0.09316949906249124,0.6083606481552124
ar,edi3,0.05,0.1,10,0.2,0.07637626158259733,0.6044185161590576
ar,edi3,0.05,0.2,10,0.12499999999999997,0.08539125638299665,0.6024604320526123
ar,edi3,0.05,0.25,10,0.14999999999999997,0.07264831572567788,0.6143226146697998
ar,edi3,0.1,0.0,10,0.2,0.1,0.6233089685440063
ar,edi3,0.1,0.05,10,0.18333333333333335,0.07264831572567788,0.6272922992706299
ar,edi3,0.1,0.1,10,0.19166666666666668,0.12388390622765422,0.623045539855957
ar,edi3,0.1,0.2,10,0.10833333333333332,0.053359368645273735,0.521463131904602
ar,edi3,0.1,0.25,10,0.06666666666666667,0.049999999999999996,0.5322970867156982
ar,edi3,0.2,0.0,10,0.125,0.05590169943749475,0.3982549667358398
ar,edi3,0.2,0.05,10,0.14166666666666666,0.09895285072531598,0.38500449657440183
ar,edi3,0.2,0.1,10,0.1,0.08975274678557507,0.37962071895599364
ar,edi3,0.2,0.2,10,0.05833333333333333,0.0650854139658888,0.36690924167633054
ar,edi3,0.2,0.25,10,0.09999999999999999,0.0816496580927726,0.380643367767334
ar,edi3,0.25,0.0,10,0.12499999999999997,0.06718548123582126,0.38906135559082033
ar,edi3,0.25,0.05,10,0.14999999999999997,0.08975274678557507,0.39751267433166504
ar,edi3,0.25,0.1,10,0.08333333333333333,0.07453559924999299,0.3820211410522461
ar,edi3,0.25,0.2,10,0.08333333333333333,0.09128709291752769,0.3749675750732422
ar,edi3,0.25,0.25,10,0.12499999999999997,0.06718548123582126,0.37839999198913576
