model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar,edi3,0.0,0.0,10,1.0,0.0,0.5815198659896851
ar,edi3,0.0,0.05,10,0.26170212765957446,0.0877514494778778,0.5597797632217407
ar,edi3,0.0,0.1,10,0.2127659574468085,0.08772565160888639,0.4659085273742676
ar,edi3,0.0,0.2,10,0.12127659574468083,0.05470195800928698,0.4146787166595459
ar,edi3,0.0,0.25,10,0.08297872340425531,0.0460774634632079,0.3901974201202393
ar,edi3,0.05,0.0,10,0.276595744680851,0.11177808967288252,0.40377953052520754
ar,edi3,0.05,0.05,10,0.19361702127659575,0.08587419604515134,0.5140290021896362
ar,edi3,0.05,0.1,10,0.21702127659574466,0.09694285744591079,0.4397975206375122
ar,edi3,0.05,0.2,10,0.09787234042553192,0.023692614309914983,0.3588144302368164
ar,edi3,0.05,0.25,10,0.07872340425531915,0.036913513984888235,0.3635637998580933
ar,edi3,0.1,0.0,10,0.1702127659574468,0.0851063829787234,0.37052366733551023
ar,edi3,0.1,0.05,10,0.1829787234042553,0.0814090488072723,0.3663388729095459
ar,edi3,0.1,0.1,10,0.14680851063829786,0.0708545778950924,0.36704192161560056
ar,edi3,0.1,0.2,10,0.11702127659574468,0.07262148155691919,0.3774265289306641
ar,edi3,0.1,0.25,10,0.057446808510638304,0.04042553191489361,0.3671785593032837
ar,edi3,0.2,0.0,10,0.14042553191489363,0.05052911526399114,0.3743118762969971
ar,edi3,0.2,0.05,10,0.13404255319148936,0.08297872340425533,0.3652212142944336
ar,edi3,0.2,0.1,10,0.125531914893617,0.05822949865278301,0.37649152278900144
ar,edi3,0.2,0.2,10,0.08936170212765958,0.020846721215175987,0.4191249370574951
ar,edi3,0.2,0.25,10,0.1106382978723404,0.026574459567652756,0.3571120262145996
ar,edi3,0.25,0.0,10,0.09787234042553192,0.042765428174982516,0.3704402208328247
ar,edi3,0.25,0.05,10,0.07872340425531914,0.04856473281069501,0.37217006683349607
ar,edi3,0.25,0.1,10,0.10212765957446808,0.05106382978723404,0.36651227474212644
ar,edi3,0.25,0.2,10,0.08297872340425531,0.030759217648512683,0.4267119884490967
ar,edi3,0.25,0.25,10,0.09148936170212765,0.02699697349031813,0.44369993209838865
