model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
MAGNA,edi3,0.0,0.0,10,0.602127659574468,0.40827231523353086,38.023117852211
MAGNA,edi3,0.0,0.05,10,0.827659574468085,0.32413830468079513,37.96022024154663
MAGNA,edi3,0.0,0.1,10,0.925531914893617,0.22340425531914895,38.29317944049835
MAGNA,edi3,0.0,0.2,10,0.5808510638297872,0.41169525531676887,37.468506121635436
MAGNA,edi3,0.0,0.25,10,0.8,0.3697722985011125,37.141714859008786
MAGNA,edi3,0.05,0.0,10,0.9382978723404255,0.1851063829787234,38.89921002388
MAGNA,edi3,0.05,0.05,10,0.7191489361702128,0.4212336105299631,38.33189234733582
MAGNA,edi3,0.05,0.1,10,0.7127659574468086,0.39830446439353034,38.07702257633209
MAGNA,edi3,0.05,0.2,10,0.6106382978723405,0.4419236520710858,37.53035969734192
MAGNA,edi3,0.05,0.25,10,0.6638297872340425,0.39882126004629725,36.89405155181885
MAGNA,edi3,0.1,0.0,10,0.6787234042553192,0.3654932731661993,38.62807800769806
MAGNA,edi3,0.1,0.05,10,0.24893617021276593,0.37822702349747217,38.54301228523254
MAGNA,edi3,0.1,0.1,10,0.6319148936170212,0.45305162160890966,38.36194250583649
MAGNA,edi3,0.1,0.2,10,0.4382978723404255,0.4412214003519831,37.774254369735715
MAGNA,edi3,0.1,0.25,10,0.34042553191489366,0.4011075657624845,37.293127512931825
MAGNA,edi3,0.2,0.0,10,0.5127659574468085,0.4539899070158387,39.5671023607254
MAGNA,edi3,0.2,0.05,10,0.7382978723404255,0.36938645862715624,39.243146085739134
MAGNA,edi3,0.2,0.1,10,0.8361702127659575,0.3285219378499857,38.868104219436646
MAGNA,edi3,0.2,0.2,10,0.5829787234042553,0.4114917819902859,37.81879234313965
MAGNA,edi3,0.2,0.25,10,0.2936170212765957,0.361301405057487,36.25356585979462
MAGNA,edi3,0.25,0.0,10,0.8297872340425532,0.29157476618086636,39.624083685874936
MAGNA,edi3,0.25,0.05,10,0.48936170212765956,0.4425327327513303,39.00176432132721
MAGNA,edi3,0.25,0.1,10,0.22340425531914895,0.25975752178180955,37.897449588775636
MAGNA,edi3,0.25,0.2,10,0.2702127659574468,0.328246228063807,38.406634068489076
MAGNA,edi3,0.25,0.25,10,0.2148936170212766,0.2389144758154838,37.61855266094208
