model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
pale_mlp,edi3,0.0,0.0,10,0.9914893617021278,0.01702127659574466,17.6167396068573
pale_mlp,edi3,0.0,0.05,10,0.8829787234042552,0.07262148155691922,17.234339809417726
pale_mlp,edi3,0.0,0.1,10,0.8617021276595744,0.08087905450531153,13.06624481678009
pale_mlp,edi3,0.0,0.2,10,0.7553191489361704,0.07072668144082836,11.91550030708313
pale_mlp,edi3,0.0,0.25,10,0.5936170212765957,0.06343851708883225,11.869652771949768
pale_mlp,edi3,0.05,0.0,10,0.9212765957446807,0.0645701740659299,12.168003916740417
pale_mlp,edi3,0.05,0.05,10,0.8553191489361703,0.08174201154169593,12.102597546577453
pale_mlp,edi3,0.05,0.1,10,0.7617021276595745,0.07776879524466836,12.082445764541626
pale_mlp,edi3,0.05,0.2,10,0.6319148936170211,0.05869410308142008,11.93388102054596
pale_mlp,edi3,0.05,0.25,10,0.6127659574468084,0.11952827153351607,11.939423775672912
pale_mlp,edi3,0.1,0.0,10,0.9063829787234043,0.053993946980636275,12.115256905555725
pale_mlp,edi3,0.1,0.05,10,0.8127659574468085,0.07043806534998656,12.170612740516663
pale_mlp,edi3,0.1,0.1,10,0.7702127659574469,0.10239327162141246,12.095591163635254
pale_mlp,edi3,0.1,0.2,10,0.6042553191489362,0.10857319848657936,12.022780156135559
pale_mlp,edi3,0.1,0.25,10,0.5127659574468086,0.09148936170212764,11.891640520095825
pale_mlp,edi3,0.2,0.0,10,0.721276595744681,0.06414814226247377,12.17288088798523
pale_mlp,edi3,0.2,0.05,10,0.7425531914893617,0.07398016447112218,12.215893316268922
pale_mlp,edi3,0.2,0.1,10,0.6425531914893616,0.07718449849879597,12.17494969367981
pale_mlp,edi3,0.2,0.2,10,0.5914893617021277,0.07540444743263554,12.122784423828126
pale_mlp,edi3,0.2,0.25,10,0.46170212765957447,0.06930424457405247,11.94062716960907
pale_mlp,edi3,0.25,0.0,10,0.6787234042553192,0.07458956656577917,14.746663928031921
pale_mlp,edi3,0.25,0.05,10,0.6638297872340425,0.060778114285471065,12.26045196056366
pale_mlp,edi3,0.25,0.1,10,0.6702127659574468,0.05486722109884097,12.129492831230163
pale_mlp,edi3,0.25,0.2,10,0.48723404255319147,0.06623141453733354,12.142034983634948
pale_mlp,edi3,0.25,0.25,10,0.4212765957446808,0.07776879524466834,11.972264766693115
