model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
bigalign,ad1,10,0.0,0.0,0.28227146814404436,0.015131856270080507,6.715086146264012e-08,1.3234889800848443e-23,0.056167197227478025,-1.0
bigalign,ad1,10,0.05,0.0,0.05055401662049861,0.008384936768789647,8.020783359486353e-08,2.5238952382523103e-08,0.055696749687194826,-1.0
bigalign,ad1,10,0.1,0.0,0.03933518005540167,0.00822206209399215,8.58870040658374e-08,3.093993542829254e-08,0.08111627101898193,-1.0
bigalign,ad1,10,0.2,0.0,0.024653739612188367,0.007805541719448958,2.117532237273891e-07,1.2202926565848166e-07,0.07079463005065918,-1.0
bigalign,ad1,10,0.25,0.0,0.02354570637119114,0.0051077808627661425,9.490934638368449e-08,6.631586858580353e-08,0.07025790214538574,-1.0
bigalign,ad1,10,0.0,0.0,0.2710526315789474,0.016941158819969413,6.715086146264012e-08,1.3234889800848443e-23,0.05916683673858643,-1.0
bigalign,ad1,10,0.0,0.05,0.05041551246537396,0.009107635580483988,1.2446044657189406e-07,8.711231808569019e-08,0.05781314373016357,-1.0
bigalign,ad1,10,0.0,0.1,0.03365650969529087,0.006038844697116799,1.012953591972854e-07,6.357537561842588e-08,0.061854767799377444,-1.0
bigalign,ad1,10,0.0,0.2,0.017451523545706372,0.004963011874562026,1.3483469085375512e-07,8.707016219988805e-08,0.059655189514160156,-1.0
bigalign,ad1,10,0.0,0.25,0.01440443213296399,0.00443213296398892,1.1138374062292196e-07,9.844629438466134e-08,0.05243830680847168,-1.0
