model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
bigalign,edi3,10,0.0,0.0,0.8787234042553191,0.03928975598429658,0.00013722691299586457,2.710505431213761e-20,0.006960344314575195,-1.0
bigalign,edi3,10,0.05,0.0,0.1702127659574468,0.05548257366129914,8.138821556650359e-05,4.3524714252497064e-05,0.00706489086151123,-1.0
bigalign,edi3,10,0.1,0.0,0.13829787234042554,0.06257634540362869,7.915627853623752e-05,5.365387008115983e-05,0.00726015567779541,-1.0
bigalign,edi3,10,0.2,0.0,0.10638297872340423,0.05211680303793996,7.261154723578486e-05,3.4598225818102075e-05,0.007483482360839844,-1.0
bigalign,edi3,10,0.25,0.0,0.0702127659574468,0.030164780593101757,0.00010661144965681538,5.7424652059138954e-05,0.009124994277954102,-1.0
bigalign,edi3,10,0.0,0.0,0.9,0.04042553191489362,0.00013722691299586457,2.710505431213761e-20,0.007159113883972168,-1.0
bigalign,edi3,10,0.0,0.05,0.18936170212765957,0.04508429808599381,9.093775638732415e-05,3.322108847556173e-05,0.007302403450012207,-1.0
bigalign,edi3,10,0.0,0.1,0.15531914893617021,0.06457017406592987,0.00011482127653113727,3.634096321241013e-05,0.0062749385833740234,-1.0
bigalign,edi3,10,0.0,0.2,0.06170212765957446,0.03357390178310532,7.189123666492002e-05,5.9176823403546556e-05,0.007637214660644531,-1.0
bigalign,edi3,10,0.0,0.25,0.05957446808510639,0.03534733558688542,8.879325448952872e-05,5.848667399460816e-05,0.00584878921508789,-1.0
