model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
bigalign,ppi,10,0.0,0.0,0.5383928571428571,0.009303467082678549,9.080161503861736e-08,0.0,0.7605145931243896,-1.0
bigalign,ppi,10,0.05,0.0,0.08296703296703298,0.009624211019562285,9.18255258738634e-08,3.791550804533954e-09,0.7754635095596314,-1.0
bigalign,ppi,10,0.1,0.0,0.05267857142857143,0.006066158644711962,1.2588506506130286e-07,5.663710139081227e-08,0.7986268758773803,-1.0
bigalign,ppi,10,0.2,0.0,0.039217032967032966,0.005341711361360099,1.7177842971123857e-07,8.256282060760654e-08,0.8299776077270508,-1.0
bigalign,ppi,10,0.25,0.0,0.033516483516483515,0.0056033181468052575,1.6867737577631126e-07,9.178062300903717e-08,0.8379097700119018,-1.0
bigalign,ppi,10,0.0,0.0,0.5398351648351648,0.007592315167821697,9.080161503861736e-08,0.0,0.7549685955047607,-1.0
bigalign,ppi,10,0.0,0.05,0.07005494505494506,0.005494505494505493,9.316818685224255e-08,1.6392628124633835e-08,0.7281069040298462,-1.0
bigalign,ppi,10,0.0,0.1,0.0474587912087912,0.007355317112956169,8.508287075294643e-08,1.7535730955643693e-08,0.7048238039016723,-1.0
bigalign,ppi,10,0.0,0.2,0.02726648351648352,0.0027135640474091217,7.841856397561412e-08,3.8654064112357554e-08,0.6464345693588257,-1.0
bigalign,ppi,10,0.0,0.25,0.023351648351648352,0.003921456709785769,8.015891543726237e-08,4.1488414446596335e-08,0.6080820083618164,-1.0
