model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_pale-gine2-sgm,edi3,3,0.0,0.0,0.1702127659574468,0.03474453535862664,0.0015797167267093714,0.0005390554431207858,13.103844483693441,0.0
shelley_pale-gine2-sgm,edi3,3,0.05,0.0,0.14184397163120566,0.026536577211162704,0.0015642826456105574,5.893826033290877e-05,14.292120615641275,0.0
shelley_pale-gine2-sgm,edi3,3,0.1,0.0,0.14184397163120566,0.1047150571647759,0.0014573583572075287,0.00027709228714453595,12.927764097849527,0.0
shelley_pale-gine2-sgm,edi3,3,0.2,0.0,0.1773049645390071,0.026536577211162708,0.001614114301728791,0.00017431942168307126,12.229561567306519,0.0
shelley_pale-gine2-sgm,edi3,3,0.25,0.0,0.07092198581560284,0.026536577211162704,0.0012244093499478251,0.0002256671204572171,14.626330375671387,0.0
shelley_pale-gine2-sgm,edi3,3,0.0,0.0,0.3262411347517731,0.03616325896165096,0.002291862563840274,0.0005807961349829938,12.13748041788737,0.0
shelley_pale-gine2-sgm,edi3,3,0.0,0.05,0.2624113475177305,0.05014941710542889,0.0022863938697967037,0.0004310748292988871,12.696627934773764,0.0
shelley_pale-gine2-sgm,edi3,3,0.0,0.1,0.2765957446808511,0.04596269998870823,0.0021613426399470746,0.0005256619684943858,12.274398565292358,0.0
shelley_pale-gine2-sgm,edi3,3,0.0,0.2,0.2127659574468085,0.03008965026325733,0.0023569291693040693,0.00027943090683315696,10.55508009592692,0.0
shelley_pale-gine2-sgm,edi3,3,0.0,0.25,0.23404255319148937,0.09192539997741647,0.002550555650016357,0.00048542241858551093,10.731886068979898,0.0
