model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_pale-mlp1-sgm,edi3,3,0.0,0.0,0.6312056737588653,0.07232651792330191,0.0023605965784397613,0.00016935086756432967,10.310043255488077,0.0
shelley_pale-mlp1-sgm,edi3,3,0.05,0.0,0.5390070921985816,0.1220187981140798,0.002483577777942022,8.151516560738185e-05,10.424004793167114,0.0
shelley_pale-mlp1-sgm,edi3,3,0.1,0.0,0.5815602836879433,0.13933959364814538,0.0023576971036435544,0.00014760297199957345,11.564511140187582,0.0
shelley_pale-mlp1-sgm,edi3,3,0.2,0.0,0.5106382978723404,0.12527320377769993,0.002343526088643348,0.00021198755594311678,10.535678307215372,0.0
shelley_pale-mlp1-sgm,edi3,3,0.25,0.0,0.38297872340425526,0.09672469288642448,0.0025066822103556544,0.00012371224308798076,13.20868706703186,0.0
shelley_pale-mlp1-sgm,edi3,3,0.0,0.0,0.652482269503546,0.05584402747526105,0.0024811286886019268,0.0001475803381554499,10.882352749506632,0.0
shelley_pale-mlp1-sgm,edi3,3,0.0,0.05,0.6879432624113475,0.061009399057039906,0.0023643111745859017,0.00014322048687373957,11.492745478947958,0.0
shelley_pale-mlp1-sgm,edi3,3,0.0,0.1,0.5815602836879433,0.05307315442232544,0.002177955893178781,0.00011239907789150166,12.39486050605774,0.0
shelley_pale-mlp1-sgm,edi3,3,0.0,0.2,0.46808510638297873,0.01737226767931332,0.0020721767889870994,0.00010026529429895659,11.84418018658956,0.0
shelley_pale-mlp1-sgm,edi3,3,0.0,0.25,0.47517730496453897,0.1156702583709226,0.0019087921506885826,0.00010904476302504966,10.88923748334249,0.0
