model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
deeplink,ad1,3,0.0,0.0,0.5415512465373962,0.032442707462162296,0.0016896091755211123,3.270788555056205e-05,176.56058597564697,-1.0
deeplink,ad1,3,0.05,0.0,0.4279778393351801,0.027211748898045028,0.0019828706582407938,4.267246087991753e-05,192.77022941907248,-1.0
deeplink,ad1,3,0.1,0.0,0.3859649122807018,0.021015340123252152,0.0022737961130819702,5.0232114908578586e-05,189.79866743087769,-1.0
deeplink,ad1,3,0.2,0.0,0.35410895660203145,0.018035110789127055,0.0028343591314216655,0.00014585267314292736,187.6106706460317,-1.0
deeplink,ad1,3,0.25,0.0,0.31024930747922436,0.01665892756479107,0.0029990196563420488,3.253506050500777e-05,189.2758413950602,-1.0
deeplink,ad1,3,0.0,0.0,0.5313942751615882,0.027172555807132306,0.0017394462743352795,6.494082651294708e-05,186.57843629519144,-1.0
deeplink,ad1,3,0.0,0.05,0.4356372473726554,0.027211748898045028,0.0010928308520985309,4.267246087991753e-05,192.77022941907248,-1.0
deeplink,ad1,3,0.0,0.1,0.3987398472983747,0.021015340123252152,0.0024909503948594038,5.0232114908578586e-05,189.79866743087769,-1.0
deeplink,ad1,3,0.0,0.2,0.3398093284932098,0.018035110789127055,0.0018989438987543987,0.00014585267314292736,187.6106706460317,-1.0
deeplink,ad1,3,0.0,0.25,0.3239084302498045,0.016658927564793107,0.00299847395874937574,3.253506050500777e-05,189.2758413950602,-1.0
