model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
deeplink,edi3,3,0.0,0.0,0.24822695035460993,0.06577034393968584,0.0013671481939054083,0.0005347859225263722,53.393390814463295,-1.0
deeplink,edi3,3,0.05,0.0,0.20567375886524822,0.026536577211162708,0.0010472347146306914,0.00035664167235126336,53.27210203806559,-1.0
deeplink,edi3,3,0.1,0.0,0.1773049645390071,0.02005976684217156,0.0010930825902641505,0.0003588316676562533,54.37353571256002,-1.0
deeplink,edi3,3,0.2,0.0,0.1347517730496454,0.03616325896165096,0.0005800846386058577,0.0002722126141491225,54.05852293968201,-1.0
deeplink,edi3,3,0.25,0.0,0.07092198581560283,0.010029883421085782,0.00041297897054203627,0.00012911597227305348,53.94358706474304,-1.0
deeplink,edi3,3,0.0,0.0,0.3120567375886525,0.07833589373891674,0.0017909858718343167,0.0008974273757712736,53.420794328053795,-1.0
deeplink,edi3,3,0.0,0.05,0.24822695035460993,0.03616325896165094,0.0018905821502551267,0.0005487035815362704,53.49050180117289,-1.0
deeplink,edi3,3,0.0,0.1,0.22695035460992907,0.026536577211162697,0.002177559106942566,0.0006034884467813326,54.067988554636635,-1.0
deeplink,edi3,3,0.0,0.2,0.1914893617021277,0.01737226767931332,0.0026730277372160175,0.00033812137447859406,53.7512780825297,-1.0
deeplink,edi3,3,0.0,0.25,0.1347517730496454,0.0501494171054289,0.002358560086409936,4.1849818225779976e-05,53.44349988301595,-1.0
