model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
final,ad1,10,0.0,0.0,0.9807479224376732,0.007444517811843039,4.079285802571578e-08,0.0,3.899957203865051,-1.0
final,ad1,10,0.05,0.0,0.04016620498614958,0.009715057017590128,6.833108309284679e-08,3.6930085153087816e-08,3.7843379735946656,-1.0
final,ad1,10,0.1,0.0,0.020637119113573407,0.004972665670641618,4.850177222371366e-08,2.8550752105261984e-08,3.797014021873474,-1.0
final,ad1,10,0.2,0.0,0.011218836565096955,0.004694861843955206,6.437919592018138e-08,4.49808772757789e-08,3.8176289558410645,-1.0
final,ad1,10,0.25,0.0,0.01038781163434903,0.003349968593475852,4.564757054122351e-08,3.9039626911382686e-08,3.809541368484497,-1.0
final,ad1,10,0.0,0.0,0.9813019390581719,0.006533227930787112,4.079288383842572e-08,5.1625419878859845e-14,3.8983368396759035,-1.0
final,ad1,10,0.0,0.05,0.029501385041551247,0.00904104372319534,3.829960837266398e-08,2.4938590011247152e-08,3.87829532623291,-1.0
final,ad1,10,0.0,0.1,0.024792243767313017,0.005380311523422446,3.1707313287581944e-08,2.7146668355279762e-08,3.7995078802108764,-1.0
final,ad1,10,0.0,0.2,0.018698060941828253,0.004807909960584427,3.480090204205058e-08,3.2493159285191883e-08,3.852264952659607,-1.0
final,ad1,10,0.0,0.25,0.013850415512465375,0.0035039087647295067,3.5147669987377196e-08,2.153105098992963e-08,3.910455918312073,-1.0
