model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
final,edi3,10,0.0,0.0,1.0,0.0,4.467233244715067e-06,8.470329472543003e-22,0.023240542411804198,-1.0
final,edi3,10,0.05,0.0,0.16170212765957448,0.058034815731854705,4.717062131084245e-06,3.4450793800747803e-06,0.023635554313659667,-1.0
final,edi3,10,0.1,0.0,0.11489361702127661,0.03184389265339524,5.982739144358141e-06,3.982690787427402e-06,0.020436406135559082,-1.0
final,edi3,10,0.2,0.0,0.06808510638297872,0.028226593960471485,6.689519846233828e-06,4.441363004465145e-06,0.017872428894042967,-1.0
final,edi3,10,0.25,0.0,0.07446808510638296,0.05057389074044559,6.219799277083627e-06,4.151233627715315e-06,0.018346238136291503,-1.0
final,edi3,10,0.0,0.0,1.0,0.0,4.467233244715067e-06,8.470329472543003e-22,0.023645687103271484,-1.0
final,edi3,10,0.0,0.05,0.19787234042553187,0.06021690084291449,3.4870611953324282e-06,1.7312616339397247e-06,0.020032000541687012,-1.0
final,edi3,10,0.0,0.1,0.10425531914893618,0.04704966890956592,8.098915990056663e-06,4.227215874904541e-06,0.019054603576660157,-1.0
final,edi3,10,0.0,0.2,0.09787234042553192,0.02553191489361702,1.0895154214110869e-05,7.1878646938139825e-06,0.024073123931884766,-1.0
final,edi3,10,0.0,0.25,0.06170212765957446,0.027659574468085105,6.47478255218473e-06,3.6085222162397204e-06,0.020612931251525878,-1.0
