model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
final,ppi,10,0.0,0.0,0.9964285714285716,0.0008009549306106154,2.0595624020969297e-08,0.0,13.326836752891541,-1.0
final,ppi,10,0.05,0.0,0.059409340659340656,0.004599597706113522,1.546712589684163e-08,9.844994949752263e-10,13.222701406478881,-1.0
final,ppi,10,0.1,0.0,0.03983516483516483,0.0038730418076570556,1.1654037709843004e-08,1.4092325349305658e-09,13.127233481407165,-1.0
final,ppi,10,0.2,0.0,0.0290521978021978,0.0036736481099770143,7.379342611918023e-09,2.4493211925294543e-09,13.083174967765808,-1.0
final,ppi,10,0.25,0.0,0.02685439560439561,0.006014617227728413,5.743656140547849e-09,2.597839128013763e-09,13.477670788764954,-1.0
final,ppi,10,0.0,0.0,0.9968406593406594,0.0010279278535093208,2.0595624020969297e-08,0.0,13.410259771347047,-1.0
final,ppi,10,0.0,0.05,0.06964285714285715,0.011223460558140382,1.8856949349553002e-08,5.264493822068336e-09,13.773893785476684,-1.0
final,ppi,10,0.0,0.1,0.04354395604395604,0.0050113836118007415,2.1204302075138254e-08,5.677803213369709e-09,13.564617705345153,-1.0
final,ppi,10,0.0,0.2,0.02967032967032967,0.00442768172013357,2.0766823023655966e-08,9.979623035758654e-09,13.89418568611145,-1.0
final,ppi,10,0.0,0.25,0.027609890109890112,0.003978777021417648,2.088534393321688e-08,1.3349513133166507e-08,14.041433453559875,-1.0
