model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.8482027092405416,30,0.8359639157385529,217.34096789360046
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.4881869809855989,246,0.47933739260861047,5136.482350349426
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0,0,0.020698751693692348,403.7398171424866
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.011882260619944933,417.1191408634186
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.031088445578598838,427.11511731147766
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.8334635679503987,15,0.8407675840629445,151.69135451316833
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0,0,0.0194356452785757,397.1622657775879
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0,0,0.008711783914103176,405.4981231689453
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.003318562919491101,393.2869358062744
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.014288214024670882,422.49671745300293
