model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
isorank,ppi,10,0.0,0.0,0.9972527472527473,0.0013031363984210309,7.686355223427636e-11,1.2924697071141057e-26,1.359933614730835,-1.0
isorank,ppi,10,0.05,0.0,0.03798076923076923,0.002882161436587539,1.0167620768908815e-10,1.6717531994830236e-11,1.2402493953704834,-1.0
isorank,ppi,10,0.1,0.0,0.02335164835164835,0.0027300284223010693,8.885068240370182e-11,1.5093462357086498e-11,0.9850314617156982,-1.0
isorank,ppi,10,0.2,0.0,0.01813186813186813,0.0032243666467872256,9.299465826312679e-11,2.223740447839832e-11,0.9950109004974366,-1.0
isorank,ppi,10,0.25,0.0,0.016895604395604398,0.0029332632560525583,9.879302448496311e-11,1.7035890821453016e-11,1.0056617498397826,-1.0
isorank,ppi,10,0.0,0.0,0.9967032967032967,0.0010551024378940357,7.686355223427636e-11,1.2924697071141057e-26,1.2451746225357057,-1.0
isorank,ppi,10,0.0,0.05,0.02733516483516484,0.003512832926523193,8.346191379577003e-11,3.343658607583622e-11,1.2485061168670655,-1.0
isorank,ppi,10,0.0,0.1,0.020673076923076922,0.002667984148290527,8.614349817430141e-11,3.94543842475548e-11,1.2532473087310791,-1.0
isorank,ppi,10,0.0,0.2,0.01366758241758242,0.0025780665355938817,1.288472494052097e-10,4.376810986176126e-11,1.2222084522247314,-1.0
isorank,ppi,10,0.0,0.25,0.012156593406593407,0.002625208084287966,6.864600010531627e-11,8.508881222855325e-11,1.2017955303192138,-1.0
