model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale-mlp1-sc_lr0.01,edi3,0.0,0,3,1.0,0.0,14.234126249949137,-1.0
pale-mlp1-sc_lr0.01,edi3,0.05,0,3,0.9290780141843972,0.02005976684217159,13.572215477625528,-1.0
pale-mlp1-sc_lr0.01,edi3,0.1,0,3,0.8156028368794326,0.026536577211162704,13.663701693216959,-1.0
pale-mlp1-sc_lr0.01,edi3,0.2,0,3,0.7730496453900709,0.055844027475261064,13.761284669240316,-1.0
pale-mlp1-sc_lr0.01,edi3,0.25,0,3,0.7375886524822696,0.0610093990570399,16.321353594462078,-1.0
pale-mlp1-sc_lr0.01,edi3,0,0.0,3,1.0,0.0,13.844244400660196,-1.0
pale-mlp1-sc_lr0.01,edi3,0,0.05,3,0.9574468085106383,0.03474453535862664,14.049902439117432,-1.0
pale-mlp1-sc_lr0.01,edi3,0,0.1,3,0.851063829787234,0.06263660188884998,13.170679489771524,-1.0
pale-mlp1-sc_lr0.01,edi3,0,0.2,3,0.702127659574468,0.06948907071725328,11.702982981999716,-1.0
pale-mlp1-sc_lr0.01,edi3,0,0.25,3,0.75177304964539,0.020059766842171537,11.892796675364176,-1.0
