model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale-mlp1-se_lr0.001,edi3,0.0,0,3,0.9716312056737589,0.020059766842171537,10.83637555440267,-1.0
pale-mlp1-se_lr0.001,edi3,0.05,0,3,0.9716312056737588,0.04011953368434313,12.528495152791342,-1.0
pale-mlp1-se_lr0.001,edi3,0.1,0,3,0.900709219858156,0.03616325896165096,11.54884934425354,-1.0
pale-mlp1-se_lr0.001,edi3,0.2,0,3,0.7659574468085107,0.017372267679313345,11.898229996363321,-1.0
pale-mlp1-se_lr0.001,edi3,0.25,0,3,0.6595744680851063,0.06017930052651466,13.074190775553385,-1.0
pale-mlp1-se_lr0.001,edi3,0,0.0,3,0.9858156028368795,0.020059766842171537,10.636147578557333,-1.0
pale-mlp1-se_lr0.001,edi3,0,0.05,3,0.9503546099290782,0.04371924824800695,10.530900716781616,-1.0
pale-mlp1-se_lr0.001,edi3,0,0.1,3,0.900709219858156,0.04371924824800695,10.461608250935873,-1.0
pale-mlp1-se_lr0.001,edi3,0,0.2,3,0.7659574468085107,0.06017930052651466,11.093993425369263,-1.0
pale-mlp1-se_lr0.001,edi3,0,0.25,3,0.6524822695035462,0.02653657721116269,12.220398505528768,-1.0
