model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
pale_h1-euclidean,edi3,10,0.0,0.0,0.9957446808510639,0.012765957446808496,0.0077876802341177555,0.0005416032546517838,18.475440216064452,-1.0
pale_h1-euclidean,edi3,10,0.05,0.0,0.9765957446808512,0.03357390178310532,0.008247903015079171,0.0006836483477048955,12.967652344703675,-1.0
pale_h1-euclidean,edi3,10,0.1,0.0,0.902127659574468,0.08885367241626001,0.009157122491762554,0.0010720069380777796,12.855332016944885,-1.0
pale_h1-euclidean,edi3,10,0.2,0.0,0.8212765957446807,0.07915351164995012,0.009316011267746315,0.0011191703458102622,12.879192924499511,-1.0
pale_h1-euclidean,edi3,10,0.25,0.0,0.7829787234042553,0.08338688486070395,0.008927337799606652,0.0006715262336055614,15.702413606643677,-1.0
pale_h1-euclidean,edi3,10,0.0,0.0,0.9872340425531915,0.019500322106195043,0.008122960956574516,0.00072609736114005,12.743682765960694,-1.0
pale_h1-euclidean,edi3,10,0.0,0.05,0.9553191489361703,0.04985265750578715,0.007946409892033914,0.0009096267957583446,12.797521209716797,-1.0
pale_h1-euclidean,edi3,10,0.0,0.1,0.9382978723404257,0.03617021276595746,0.008177548903843453,0.0005553873782591742,12.710531163215638,-1.0
pale_h1-euclidean,edi3,10,0.0,0.2,0.7957446808510639,0.054825952028617564,0.008108512369980073,0.0008852654147458547,12.753489804267883,-1.0
pale_h1-euclidean,edi3,10,0.0,0.25,0.7489361702127659,0.11489361702127661,0.00761658077545721,0.0006332933655728356,12.791114282608032,-1.0
