model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
pale_h1-euclidean,ppi,3,0.0,0.0,0.9935897435897436,0.001411266942071647,0.00024945226061726713,1.1274171321153097e-06,575.0771170457205,-1.0
pale_h1-euclidean,ppi,3,0.05,0.0,0.9867216117216118,0.003237668412026357,0.0002288262156641805,3.283844431855644e-06,620.76478211085,-1.0
pale_h1-euclidean,ppi,3,0.1,0.0,0.9759615384615384,0.0016823418563071217,0.00020981964864755288,1.8565958795301212e-06,621.5009678999583,-1.0
pale_h1-euclidean,ppi,3,0.2,0.0,0.9379578754578755,0.003648666998742942,0.00018461542669513027,1.8736613626083863e-06,646.7102240721384,-1.0
pale_h1-euclidean,ppi,3,0.25,0.0,0.9141483516483516,0.0039254643313832846,0.00017813125966840068,3.1794418140348286e-06,636.1077708403269,-1.0
pale_h1-euclidean,ppi,3,0.0,0.0,0.9931318681318682,0.002967372114655603,0.00025154772160490487,2.1656339224466647e-06,536.7501039505005,-1.0
pale_h1-euclidean,ppi,3,0.0,0.05,0.989010989010989,0.002569819633773302,0.00023246559940175445,8.520348350913074e-07,524.9105134805044,-1.0
pale_h1-euclidean,ppi,3,0.0,0.1,0.9844322344322345,0.006048463742501361,0.0002120041321779265,1.5937416218899963e-06,534.27756635348,-1.0
pale_h1-euclidean,ppi,3,0.0,0.2,0.9629120879120879,0.004043846550516399,0.00017424584544940128,1.6158285114478115e-06,527.3099410533905,-1.0
pale_h1-euclidean,ppi,3,0.0,0.25,0.9468864468864467,0.0016188342060131525,0.00015953959437344542,3.5554417492273843e-06,521.1001896858215,-1.0
