model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed64-nl2,bn1000,0.0,0.0,20,0.43313351293213537,0.3935076066278635,1.3524038910865783,68.05
share-gine2-msgm-ed64-nl2,bn1000,0.05,0.0,20,0.2258227426951395,0.1399939676336442,1.1127945065498352,48.8
share-gine2-msgm-ed64-nl2,bn1000,0.1,0.0,20,0.07201263083709317,0.059282795040083276,1.0245434641838074,42.8
share-gine2-msgm-ed64-nl2,bn1000,0.2,0.0,20,0.02623696240899519,0.011591690198091663,0.9095553755760193,36.9
share-gine2-msgm-ed64-nl2,bn1000,0.25,0.0,20,0.015575222307082054,0.007628824499957482,0.8641388535499572,33.5
share-gine2-msgm-ed64-nl2,bn1000,0.0,0.0,20,0.4346466177870198,0.40149506376854727,1.5701951861381531,78.4
share-gine2-msgm-ed64-nl2,bn1000,0.0,0.05,20,0.2431875816498308,0.16445469634730533,0.9836250901222229,42.0
share-gine2-msgm-ed64-nl2,bn1000,0.0,0.1,20,0.06685290006043101,0.06909644068831675,0.8762855410575867,33.95
share-gine2-msgm-ed64-nl2,bn1000,0.0,0.2,20,0.01705660268679526,0.01409394777146413,0.788596796989441,29.65
share-gine2-msgm-ed64-nl2,bn1000,0.0,0.25,20,0.010144140264813275,0.007749124781029128,0.8982736587524414,34.0
