model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-sgm,edi3,0.0,0.0,5,1.0,0.0,4.483044004440307,89.2
share-gine2-sgm,edi3,0.05,0.0,5,0.4619047619047619,0.2807505328187367,4.50577745437622,90.8
share-gine2-sgm,edi3,0.1,0.0,5,0.4333333333333333,0.21423279769908557,6.014376544952393,142.6
share-gine2-sgm,edi3,0.2,0.0,5,0.18095238095238092,0.12103109549656034,4.495688581466675,79.2
share-gine2-sgm,edi3,0.25,0.0,5,0.052380952380952375,0.05909368402852788,3.6076246738433837,43.0
share-gine2-sgm,edi3,0.0,0.0,5,1.0,0.0,4.386070823669433,129.0
share-gine2-sgm,edi3,0.0,0.05,5,0.38095238095238093,0.22436607598837613,3.2872754096984864,78.8
share-gine2-sgm,edi3,0.0,0.1,5,0.4904761904761904,0.10389249632986396,3.569647121429443,93.2
share-gine2-sgm,edi3,0.0,0.2,5,0.06666666666666668,0.08702698515474792,3.516825532913208,118.0
share-gine2-sgm,edi3,0.0,0.25,5,0.09047619047619046,0.050843229771577673,3.117978572845459,69.0
