model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
shelley,edi3,0.0,0.0,3,0.375886524822695,0.03616325896165096,17.42543649673462
shelley,edi3,0.0,0.05,3,0.24822695035460993,0.043719248248006916,20.343222777048748
shelley,edi3,0.0,0.1,3,0.2765957446808511,0.06263660188884997,14.664626359939575
shelley,edi3,0.0,0.2,3,0.3546099290780142,0.06577034393968584,15.120999415715536
shelley,edi3,0.0,0.25,3,0.19858156028368792,0.05584402747526108,15.248445192972818
shelley,edi3,0.05,0.0,3,0.3333333333333333,0.05014941710542889,13.554752270380655
shelley,edi3,0.05,0.05,3,0.29078014184397166,0.020059766842171565,14.313597122828165
shelley,edi3,0.05,0.1,3,0.3829787234042554,0.06263660188884997,15.084327220916748
shelley,edi3,0.05,0.2,3,0.3546099290780142,0.010029883421085795,15.641935110092163
shelley,edi3,0.05,0.25,3,0.2127659574468085,0.01737226767931332,16.075808604558308
shelley,edi3,0.1,0.0,3,0.3191489361702127,0.04596269998870823,13.654437383015951
shelley,edi3,0.1,0.05,3,0.29078014184397166,0.01002988342108577,14.5678870677948
shelley,edi3,0.1,0.1,3,0.3191489361702128,0.10423360607587992,13.710521380106607
shelley,edi3,0.1,0.2,3,0.24822695035460993,0.03616325896165095,14.57545510927836
shelley,edi3,0.1,0.25,3,0.19858156028368792,0.07833589373891674,14.895122448603312
shelley,edi3,0.2,0.0,3,0.2624113475177305,0.020059766842171565,13.433982690175375
shelley,edi3,0.2,0.05,3,0.2695035460992908,0.08209813406234202,10.992255687713623
shelley,edi3,0.2,0.1,3,0.23404255319148937,0.030089650263257346,10.867360591888428
shelley,edi3,0.2,0.2,3,0.18439716312056734,0.05307315442232541,11.978164911270142
shelley,edi3,0.2,0.25,3,0.21985815602836878,0.055844027475261064,11.102288643519083
shelley,edi3,0.25,0.0,3,0.3120567375886525,0.050149417105428896,13.523286660512289
shelley,edi3,0.25,0.05,3,0.2978723404255319,0.06017930052651469,11.788883527119955
shelley,edi3,0.25,0.1,3,0.24822695035460993,0.026536577211162708,10.96665612856547
shelley,edi3,0.25,0.2,3,0.22695035460992907,0.05584402747526107,10.994722922643026
shelley,edi3,0.25,0.25,3,0.23404255319148937,0.04596269998870822,11.056955337524414
