model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
shelley,edi3,0.0,0.0,3,0.9858156028368795,0.02005976684217154,14.913653055826822
shelley,edi3,0.0,0.05,3,0.9503546099290779,0.03616325896165096,12.480183442433676
shelley,edi3,0.0,0.1,3,0.9007092198581561,0.05307315442232544,18.33046277364095
shelley,edi3,0.0,0.2,3,0.7446808510638299,0.09192539997741649,14.497681935628256
shelley,edi3,0.0,0.25,3,0.7730496453900709,0.13493828078326559,12.564076979955038
shelley,edi3,0.05,0.0,3,0.9432624113475178,0.053073154422325394,12.773034811019897
shelley,edi3,0.05,0.05,3,0.8581560283687945,0.07232651792330193,12.899114290873209
shelley,edi3,0.05,0.1,3,0.8865248226950354,0.07232651792330191,13.312171618143717
shelley,edi3,0.05,0.2,3,0.8085106382978724,0.03008965026325733,12.840824445088705
shelley,edi3,0.05,0.25,3,0.7801418439716312,0.0987828955828661,12.091574350992838
shelley,edi3,0.1,0.0,3,0.9078014184397163,0.02005976684217159,13.211690028508505
shelley,edi3,0.1,0.05,3,0.8439716312056738,0.0437192482480069,13.955284674962362
shelley,edi3,0.1,0.1,3,0.75177304964539,0.05584402747526105,12.642801761627197
shelley,edi3,0.1,0.2,3,0.7021276595744682,0.06948907071725328,12.167750914891561
shelley,edi3,0.1,0.25,3,0.6666666666666666,0.04371924824800695,12.496581872304281
shelley,edi3,0.2,0.0,3,0.723404255319149,0.0796097316334881,12.74663233757019
shelley,edi3,0.2,0.05,3,0.8297872340425533,0.045962699988708215,12.682560523351034
shelley,edi3,0.2,0.1,3,0.6879432624113475,0.11168805495052216,13.217215696970621
shelley,edi3,0.2,0.2,3,0.6170212765957447,0.10848977688495287,12.073528289794922
shelley,edi3,0.2,0.25,3,0.4468085106382979,0.07572395923426464,12.14789048830668
shelley,edi3,0.25,0.0,3,0.6737588652482268,0.02653657721116269,16.037720044453938
shelley,edi3,0.25,0.05,3,0.6595744680851063,0.06263660188884997,16.43428627649943
shelley,edi3,0.25,0.1,3,0.6737588652482268,0.10029883421085779,12.903485695521036
shelley,edi3,0.25,0.2,3,0.4893617021276595,0.04596269998870822,12.183121045430502
shelley,edi3,0.25,0.25,3,0.3900709219858156,0.05014941710542889,14.539854923884073
