model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
sigma,edi3,0.0,0.0,10,0.6468085106382978,0.1146569666834679,5.907406115531922
sigma,edi3,0.0,0.05,10,0.502127659574468,0.14838804914181014,5.875012326240539
sigma,edi3,0.0,0.1,10,0.2638297872340426,0.11185905896250992,5.965548729896545
sigma,edi3,0.0,0.2,10,0.1595744680851064,0.0540358514859587,5.729037666320801
sigma,edi3,0.0,0.25,10,0.10212765957446808,0.05531914893617021,5.701781439781189
sigma,edi3,0.05,0.0,10,0.3234042553191489,0.12794294790104602,5.663373565673828
sigma,edi3,0.05,0.05,10,0.2680851063829787,0.12229879032510566,4.966395163536072
sigma,edi3,0.05,0.1,10,0.15106382978723404,0.08210119736840314,5.350498676300049
sigma,edi3,0.05,0.2,10,0.12340425531914896,0.06714780356621064,6.217116808891296
sigma,edi3,0.05,0.25,10,0.08723404255319149,0.04508429808599381,5.5221741676330565
sigma,edi3,0.1,0.0,10,0.16595744680851063,0.07949592209476342,5.3159264087677
sigma,edi3,0.1,0.05,10,0.1382978723404255,0.10434212625735513,5.478245782852173
sigma,edi3,0.1,0.1,10,0.10851063829787233,0.05420314554407233,5.139201927185058
sigma,edi3,0.1,0.2,10,0.08297872340425531,0.06623141453733353,5.349865651130676
sigma,edi3,0.1,0.25,10,0.09148936170212765,0.04948809936005535,5.189299607276917
sigma,edi3,0.2,0.0,10,0.11063829787234043,0.05106382978723404,5.300123715400696
sigma,edi3,0.2,0.05,10,0.07021276595744681,0.05552335468382932,4.927722930908203
sigma,edi3,0.2,0.1,10,0.06808510638297872,0.04442683620813,5.211384868621826
sigma,edi3,0.2,0.2,10,0.05319148936170213,0.021802022906297017,5.21897337436676
sigma,edi3,0.2,0.25,10,0.04680851063829787,0.03127008182276397,5.164749431610107
sigma,edi3,0.25,0.0,10,0.0553191489361702,0.031843892653395246,5.042557120323181
sigma,edi3,0.25,0.05,10,0.06170212765957446,0.03357390178310532,4.959910106658936
sigma,edi3,0.25,0.1,10,0.06170212765957447,0.04196400621982132,5.360181546211242
sigma,edi3,0.25,0.2,10,0.046808510638297864,0.04233989094070723,5.9168294906616214
sigma,edi3,0.25,0.25,10,0.055319148936170216,0.03038905714273553,5.937710976600647
