model,data,size,p_add,p_rm,avg_acc,std_acc,training_time
shelleyg_degree-gine2-sigma,edi3,100,0.0,0.0,1.0,0.0,66.27144432067871
shelleyg_degree-gine2-sigma,edi3,100,0.05,0.0,0.07701149425287356,0.07063122526775731,98.4274263381958
shelleyg_degree-gine2-sigma,edi3,100,0.1,0.0,0.04022988505747127,0.061577449360822406,94.13851475715637
shelleyg_degree-gine2-sigma,edi3,100,0.2,0.0,0.02298850574712643,0.0174318975725323,62.78618907928467
shelleyg_degree-gine2-sigma,edi3,100,0.25,0.0,0.03333333333333333,0.023103162347404345,51.747557640075684
shelleyg_degree-gine2-sigma,edi3,100,0.0,0.0,1.0,0.0,68.05484676361084
shelleyg_degree-gine2-sigma,edi3,100,0.0,0.05,0.10229885057471266,0.08480858273883549,51.17520308494568
shelleyg_degree-gine2-sigma,edi3,100,0.0,0.1,0.0574712643678161,0.11671054041695644,73.91838908195496
shelleyg_degree-gine2-sigma,edi3,100,0.0,0.2,0.041379310344827586,0.03197799481205415,89.32729196548462
shelleyg_degree-gine2-sigma,edi3,100,0.0,0.25,0.04827586206896551,0.04761451764875397,77.58873772621155
