model,data,size,p_add,p_rm,avg_acc,std_acc,training_time
shelleyg_share-gine2-sgm,ppi,100,0.0,0.0,0.996848085028404,0.0010710382405132973,1015.4947190284729
shelleyg_share-gine2-sgm,ppi,100,0.05,0.0,0.9239875389408101,0.00405212386617857,985.537351846695
shelleyg_share-gine2-sgm,ppi,100,0.1,0.0,0.7558731903976543,0.007739524094921087,1026.1076686382294
shelleyg_share-gine2-sgm,ppi,100,0.2,0.0,0.2490379329301814,0.021799614741657824,553.9656114578247
shelleyg_share-gine2-sgm,ppi,100,0.25,0.0,0.12966831592450062,0.00663621211667193,906.5404243469238
shelleyg_share-gine2-sgm,ppi,100,0.0,0.0,0.9962616822429908,0.0010660098641927134,1010.1261596679688
shelleyg_share-gine2-sgm,ppi,100,0.0,0.05,0.8609492395088876,0.011661092503799842,638.0686359405518
shelleyg_share-gine2-sgm,ppi,100,0.0,0.1,0.4351475169507056,0.017550650615967264,667.3834342956543
shelleyg_share-gine2-sgm,ppi,100,0.0,0.2,0.1129924867143119,0.0065843952854080625,854.6286818981171
shelleyg_share-gine2-sgm,ppi,100,0.0,0.25,0.056148066703316846,0.00443845562481982,980.7306172847748
