model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
deeplink,ad1,3,0.1,0.2,0.0,0.00041050903119868636,0.0005805474393978223,0.0,0.0,28.402670860290527,-1.0
deeplink,ad1,3,0.2,0.2,0.0,0.0013850415512465374,0.0,0.0,0.0,28.68756866455078,-1.0
deeplink,ad1,3,0.3,0.2,0.0,0.0010548523206751054,0.0007458932290997337,0.0,0.0,28.621885617574055,-1.0
deeplink,ad1,3,0.4,0.2,0.0,0.0006150061500615006,0.000869750038359837,0.0,0.0,28.670123259226482,-1.0
deeplink,ad1,3,0.5,0.2,0.0,0.0022172949002217295,0.0018104137049395257,0.0,0.0,28.34151228268941,-1.0
deeplink,ad1,3,0.6,0.2,0.0,0.0009233610341643582,0.0013058296974820824,0.0,0.0,28.551990429560345,-1.0
deeplink,ad1,3,0.7,0.2,0.0,0.0024600246002460025,0.001739500076719674,0.0,0.0,28.49205819765727,-1.0
deeplink,ad1,3,0.8,0.2,0.0,0.0055248618784530384,0.004511030833854839,0.0,0.0,28.37580180168152,-1.0
deeplink,ad1,3,0.9,0.2,0.0,0.0,0.0,0.0,0.0,28.53104551633199,-1.0
deeplink,ad1,3,0.1,0.0,0.2,0.00041050903119868636,0.0005805474393978223,0.0,0.0,27.118664820988972,-1.0
deeplink,ad1,3,0.2,0.0,0.2,0.0013850415512465374,0.0011308816910356315,0.0,0.0,27.16958697636922,-1.0
deeplink,ad1,3,0.3,0.0,0.2,0.0010548523206751054,0.0007458932290997337,0.0,0.0,27.281381845474243,-1.0
deeplink,ad1,3,0.4,0.0,0.2,0.0012300123001230013,0.001739500076719674,0.0,0.0,27.171122312545776,-1.0
deeplink,ad1,3,0.5,0.0,0.2,0.0007390983000739098,0.0010452428398914227,0.0,0.0,27.278753916422527,-1.0
deeplink,ad1,3,0.6,0.0,0.2,0.0,0.0,0.0,0.0,27.122204303741455,-1.0
deeplink,ad1,3,0.7,0.0,0.2,0.0,0.0,0.0,0.0,27.128892580668133,-1.0
deeplink,ad1,3,0.8,0.0,0.2,0.0,0.0,0.0,0.0,27.055238644282024,-1.0
deeplink,ad1,3,0.9,0.0,0.2,0.0,0.0,0.0,0.0,27.242343028386433,-1.0
