model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
deeplink,edi3,3,0.1,0.2,0.0,0.012578616352201257,0.017788849841171007,0.0,0.0,1.4322958787282307,-1.0
deeplink,edi3,3,0.2,0.2,0.0,0.0425531914893617,0.04596269998870823,0.00024753428952789856,5.837638648857706e-05,9.577890396118164,-1.0
deeplink,edi3,3,0.3,0.2,0.0,0.04878048780487806,0.034493013716416956,0.00013560434567859802,7.252302379202786e-05,14.384705464045206,-1.0
deeplink,edi3,3,0.4,0.2,0.0,0.06666666666666667,0.035634832254989916,0.0001356247170218106,4.016949839225302e-05,19.1780899365743,-1.0
deeplink,edi3,3,0.5,0.2,0.0,0.08045977011494253,0.043007556169815414,0.0002334335519150756,5.252482004303011e-05,22.524975617726643,-1.0
deeplink,edi3,3,0.6,0.2,0.0,0.15277777777777776,0.09820927516479828,0.00023325657921618428,9.245449618957129e-05,26.111256281534832,-1.0
deeplink,edi3,3,0.7,0.2,0.0,0.07407407407407407,0.026189140043946204,0.00023227457984768113,3.1453201225224965e-05,30.49643850326538,-1.0
deeplink,edi3,3,0.8,0.2,0.0,0.08333333333333333,0.11785113019775792,0.00034698780797336296,0.0001612696307451371,36.527649879455566,-1.0
deeplink,edi3,3,0.9,0.2,0.0,0.1111111111111111,0.07856742013183861,0.00031728947256830914,0.00027053855235847587,40.38138556480408,-1.0
deeplink,edi3,3,0.1,0.0,0.2,0.018867924528301886,0.015405595866560868,0.0,0.0,1.428597052892049,-1.0
deeplink,edi3,3,0.2,0.0,0.2,0.0851063829787234,0.04596269998870823,0.0006161500196689847,0.0002707844186885766,9.020721197128296,-1.0
deeplink,edi3,3,0.3,0.0,0.2,0.12195121951219512,0.03982910150866957,0.0007971281014468477,0.0003096300979780946,13.037821928660074,-1.0
deeplink,edi3,3,0.4,0.0,0.2,0.19047619047619047,0.02693740118805895,0.001555601488156565,0.0006130295282473863,17.650131305058796,-1.0
deeplink,edi3,3,0.5,0.0,0.2,0.2413793103448276,0.04876598490941706,0.0020274431819374533,0.00020228533535923522,22.972803115844727,-1.0
deeplink,edi3,3,0.6,0.0,0.2,0.20833333333333334,0.09001028747788695,0.0021796442632531295,0.0011036544209739462,27.34357754389445,-1.0
deeplink,edi3,3,0.7,0.0,0.2,0.2777777777777778,0.18144368465060579,0.0019243577944821327,0.0006259290597636006,29.61565025647481,-1.0
deeplink,edi3,3,0.8,0.0,0.2,0.27777777777777773,0.07856742013183861,0.002556575708433815,0.0008596973082830518,34.13151137034098,-1.0
deeplink,edi3,3,0.9,0.0,0.2,0.27777777777777773,0.15713484026367722,0.003456106430840218,0.0007412112263410407,38.73009657859802,-1.0
