model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
ione,ad1,3,0.1,0.2,0.0,0.1325944170771757,0.006695199684031234,0.09713292503442082,0.005670968700359069,11.943228244781494,-1.0
ione,ad1,3,0.2,0.2,0.0,0.18882733148661127,0.014759341978897306,0.1718721174053691,0.008183129711858578,13.10134776433309,-1.0
ione,ad1,3,0.3,0.2,0.0,0.185126582278481,0.011840687932828923,0.19967641332978348,0.0059923241295712845,14.18398904800415,-1.0
ione,ad1,3,0.4,0.2,0.0,0.15867158671586715,0.005431587248664108,0.24289753943948791,0.009214763848487855,15.546940565109253,-1.0
ione,ad1,3,0.5,0.2,0.0,0.10864745011086474,0.011871676573694765,0.2907689546093108,0.01200472278583324,17.12569197018941,-1.0
ione,ad1,3,0.6,0.2,0.0,0.09048938134810712,0.00914080788237458,0.31331958583916114,0.007023799586116553,18.654784043629963,-1.0
ione,ad1,3,0.7,0.2,0.0,0.08610086100861009,0.007582305046702309,0.3485166944366524,0.018416981907502017,19.91374929745992,-1.0
ione,ad1,3,0.8,0.2,0.0,0.05524861878453039,0.0162647529766627,0.41198633041051097,0.02088488998418694,20.859573761622112,-1.0
ione,ad1,3,0.9,0.2,0.0,0.05128205128205129,0.027411409426915324,0.4679398071543979,0.0239014995834627,21.99586280186971,-1.0
ione,ad1,3,0.1,0.0,0.2,0.12561576354679804,0.012599350782613138,0.09251564046660891,0.016164173906476564,10.133478164672852,-1.0
ione,ad1,3,0.2,0.0,0.2,0.15327793167128348,0.019236072627885185,0.13215413056156533,0.009674315222067147,11.234108845392862,-1.0
ione,ad1,3,0.3,0.0,0.2,0.11814345991561181,0.012210798420664795,0.1807246647719418,0.0025534043201260923,12.539481242497763,-1.0
ione,ad1,3,0.4,0.0,0.2,0.08364083640836407,0.008296886570253407,0.22675230997684773,0.011770902211423856,13.47097110748291,-1.0
ione,ad1,3,0.5,0.0,0.2,0.06356245380635624,0.003768676654540123,0.26865166965655224,0.005923996216386551,14.485521872838339,-1.0
ione,ad1,3,0.6,0.0,0.2,0.046168051708217916,0.0013058296974820828,0.2885944635472388,0.027943126555562508,15.73144539197286,-1.0
ione,ad1,3,0.7,0.0,0.2,0.023370233702337023,0.006271856720286328,0.3284543621472888,0.025222607794916377,16.743571360905964,-1.0
ione,ad1,3,0.8,0.0,0.2,0.03314917127071823,0.00781333459874638,0.38693844312003484,0.006776964628706421,17.870253960291546,-1.0
ione,ad1,3,0.9,0.0,0.2,0.018315018315018316,0.018677727156017527,0.4442910348379769,0.005728592599866001,18.76200000445048,-1.0
