model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
ione,edi3,10,0.1,0.2,0.0,0.2,0.08977643210090808,0.12662717392346984,0.022092966881746796,2.4767514944076536,-1.0
ione,edi3,10,0.2,0.2,0.0,0.5787234042553191,0.08553085634996503,0.2583380688367219,0.03498043465734357,2.7475149869918822,-1.0
ione,edi3,10,0.3,0.2,0.0,0.8292682926829269,0.06170297873499276,0.3992352596516239,0.028860436131142215,2.93393292427063,-1.0
ione,edi3,10,0.4,0.2,0.0,0.9514285714285714,0.04050699108216523,0.49559207184818294,0.028545620789364616,3.419747567176819,-1.0
ione,edi3,10,0.5,0.2,0.0,0.9551724137931034,0.04888774785778561,0.5042898266865261,0.032260179907817946,3.5769954204559324,-1.0
ione,edi3,10,0.6,0.2,0.0,0.9958333333333333,0.012499999999999989,0.5152589974603776,0.022763967007393512,3.6284263849258425,-1.0
ione,edi3,10,0.7,0.2,0.0,0.9777777777777779,0.027216552697590882,0.464427660315715,0.03590287175913411,4.38822751045227,-1.0
ione,edi3,10,0.8,0.2,0.0,0.9916666666666666,0.025000000000000012,0.4598480028196656,0.04518223822563235,4.417589426040649,-1.0
ione,edi3,10,0.9,0.2,0.0,1.0,0.0,0.4599433192405207,0.04576893455423721,4.115698003768921,-1.0
ione,edi3,10,0.1,0.0,0.2,0.19433962264150945,0.06087647473547804,0.1226929018466637,0.02634162519689051,2.4737345218658446,-1.0
ione,edi3,10,0.2,0.0,0.2,0.548936170212766,0.07718449849879598,0.2469868969942989,0.037775797802706894,2.4400322437286377,-1.0
ione,edi3,10,0.3,0.0,0.2,0.724390243902439,0.0872952691130404,0.4178741625542271,0.02703356267153708,2.494032788276672,-1.0
ione,edi3,10,0.4,0.0,0.2,0.7542857142857142,0.036589281356759144,0.49819030872192877,0.027056097466234164,2.9070892572402953,-1.0
ione,edi3,10,0.5,0.0,0.2,0.7931034482758621,0.07066862597213515,0.5340957489892326,0.023233689558960137,2.7972002744674684,-1.0
ione,edi3,10,0.6,0.0,0.2,0.8333333333333334,0.07682953714410741,0.5332166504885616,0.03392710243771953,3.065309190750122,-1.0
ione,edi3,10,0.7,0.0,0.2,0.8555555555555555,0.10304020550550783,0.5159110128108797,0.03944201069755584,2.994485020637512,-1.0
ione,edi3,10,0.8,0.0,0.2,0.8916666666666668,0.09166666666666666,0.5299278586589057,0.04077136853703759,3.380416512489319,-1.0
ione,edi3,10,0.9,0.0,0.2,0.8666666666666668,0.09999999999999999,0.5210228899172669,0.04556971395430468,3.53263680934906,-1.0
