model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
pale_h1-euclidean,ad1,3,0.1,0.2,0.0,0.5365353037766831,0.020931935605881677,0.00012160358949291127,9.01329431755286e-06,90.14515542984009,-1.0
pale_h1-euclidean,ad1,3,0.2,0.2,0.0,0.7483841181902123,0.008637251585350758,0.00013419475010785508,2.9423265419328948e-06,83.6184999148051,-1.0
pale_h1-euclidean,ad1,3,0.3,0.2,0.0,0.8080168776371308,0.0061053992103324295,0.00014582540537385548,1.6813440018741134e-06,90.80159894625346,-1.0
pale_h1-euclidean,ad1,3,0.4,0.2,0.0,0.8530135301353013,0.004348750191799179,0.00015727471912497238,4.0333373834487205e-06,91.2171277999878,-1.0
pale_h1-euclidean,ad1,3,0.5,0.2,0.0,0.8898743532889876,0.01849223355978833,0.00015424829233143166,1.80827459292297e-06,98.67276167869568,-1.0
pale_h1-euclidean,ad1,3,0.6,0.2,0.0,0.9205909510618652,0.01667171753025653,0.00018500395192154145,3.555383746581628e-06,90.41242798169453,-1.0
pale_h1-euclidean,ad1,3,0.7,0.2,0.0,0.9298892988929889,0.013806853825734103,0.00019451703851132573,2.8606581484788686e-06,85.96160046259563,-1.0
pale_h1-euclidean,ad1,3,0.8,0.2,0.0,0.9594843462246777,0.02270502395200363,0.00020214331521138448,3.4322346887198793e-06,85.77212905883789,-1.0
pale_h1-euclidean,ad1,3,0.9,0.2,0.0,0.9633699633699634,0.027411409426915313,0.00020671224764342428,1.545342345689736e-06,83.01440890630086,-1.0
pale_h1-euclidean,ad1,3,0.1,0.0,0.2,0.5032840722495895,0.04564225422750334,7.216525776896844e-05,5.195728579232774e-06,69.75594019889832,-1.0
pale_h1-euclidean,ad1,3,0.2,0.0,0.2,0.6537396121883656,0.013896506872846182,8.838523376501783e-05,6.455644183059281e-06,72.79562616348267,-1.0
pale_h1-euclidean,ad1,3,0.3,0.0,0.2,0.7162447257383966,0.011138561224653426,9.011450094216988e-05,5.868639034962457e-06,72.93939717610677,-1.0
pale_h1-euclidean,ad1,3,0.4,0.0,0.2,0.7779827798277982,0.013669194816047277,9.57966816483557e-05,1.9594110340903236e-06,71.08522884051006,-1.0
pale_h1-euclidean,ad1,3,0.5,0.0,0.2,0.8122690317812268,0.01642728068802134,0.00011111756675537326,2.261423625953586e-06,74.22228376070659,-1.0
pale_h1-euclidean,ad1,3,0.6,0.0,0.2,0.8448753462603878,0.008154903847024813,0.00010787958604664282,8.77567386450589e-07,72.27174830436707,-1.0
pale_h1-euclidean,ad1,3,0.7,0.0,0.2,0.9188191881918818,0.01594278154589882,0.0001177030294742614,3.6998264527141127e-06,77.84388868014018,-1.0
pale_h1-euclidean,ad1,3,0.8,0.0,0.2,0.9134438305709024,0.025650807140302267,0.00012905760206170626,4.667062359307013e-06,76.38169519106548,-1.0
pale_h1-euclidean,ad1,3,0.9,0.0,0.2,0.9157509157509157,0.031510348963526134,0.00012732526209654184,1.642156552451035e-06,80.29124172528584,-1.0
