model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
pale_h1-euclidean,ppi,3,0.1,0.2,0.0,0.9153439153439153,0.00754873300406648,0.00012978723344403485,2.2698417049016915e-06,648.3950405915579,-1.0
pale_h1-euclidean,ppi,3,0.2,0.2,0.0,0.9301739926739927,0.0022663678884184135,0.00018302162279577479,1.3291000942263831e-06,611.3130903244019,-1.0
pale_h1-euclidean,ppi,3,0.3,0.2,0.0,0.9502878074306645,0.003161445832965597,0.00021246656960134807,5.665960149776218e-06,652.1605698267618,-1.0
pale_h1-euclidean,ppi,3,0.4,0.2,0.0,0.96001221001221,0.0017267564864140294,0.0002499363688157797,5.569264675274916e-07,629.4800626436869,-1.0
pale_h1-euclidean,ppi,3,0.5,0.2,0.0,0.9677655677655678,0.0031510348963525994,0.0002733049859627822,1.3269801016596528e-06,596.8650591373444,-1.0
pale_h1-euclidean,ppi,3,0.6,0.2,0.0,0.9826007326007327,0.004532735776836869,0.0002951681559543769,1.027827075821927e-06,602.7061280409495,-1.0
pale_h1-euclidean,ppi,3,0.7,0.2,0.0,0.9884004884004884,0.0048070866141708595,0.00031819500448967286,1.543105327508117e-06,650.537644704183,-1.0
pale_h1-euclidean,ppi,3,0.8,0.2,0.0,0.9844322344322345,0.010600583244313407,0.00033333436171458517,1.009737844044944e-06,648.4912602901459,-1.0
pale_h1-euclidean,ppi,3,0.9,0.2,0.0,0.9963369963369964,0.005180269459242087,0.0003452346663631428,1.3233737269338202e-06,655.541878859202,-1.0
pale_h1-euclidean,ppi,3,0.1,0.0,0.2,0.954212454212454,0.011679564389321738,0.00013091586228258347,2.038760262027279e-06,522.6693341732025,-1.0
pale_h1-euclidean,ppi,3,0.2,0.0,0.2,0.6442307692307693,0.45506129235205883,0.00011785655552174895,8.33445336783988e-05,507.72592695554096,-1.0
