model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_degree-gine2-sigma,ad1,3,0.1,0.2,0.0,0.0012315270935960591,0.0010055376612410419,0.0,0.0,0.19675795237223306,-1.0
shelley_degree-gine2-sigma,ad1,3,0.2,0.2,0.0,0.0013850415512465374,0.0019587445462231237,0.0,0.0,0.023467302322387695,-1.0
shelley_degree-gine2-sigma,ad1,3,0.3,0.2,0.0,0.0010548523206751054,0.0007458932290997337,0.0,0.0,0.08833074569702148,-1.0
shelley_degree-gine2-sigma,ad1,3,0.4,0.2,0.0,0.0012300123001230013,0.000869750038359837,0.0,0.0,0.027202288309733074,-1.0
shelley_degree-gine2-sigma,ad1,3,0.5,0.2,0.0,0.0022172949002217295,0.0018104137049395257,0.0,0.0,0.09313106536865234,-1.0
shelley_degree-gine2-sigma,ad1,3,0.6,0.2,0.0,0.0009233610341643582,0.0013058296974820824,0.0,0.0,0.03382245699564616,-1.0
shelley_degree-gine2-sigma,ad1,3,0.7,0.2,0.0,0.0036900369003690036,0.0,0.0,0.0,0.10507607460021973,-1.0
shelley_degree-gine2-sigma,ad1,3,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.03838165601094564,-1.0
shelley_degree-gine2-sigma,ad1,3,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.1045372486114502,-1.0
shelley_degree-gine2-sigma,ad1,3,0.1,0.0,0.2,0.0020525451559934315,0.0011610948787956444,0.0,0.0,0.22584096590677896,-1.0
shelley_degree-gine2-sigma,ad1,3,0.2,0.0,0.2,0.0013850415512465374,0.0019587445462231237,0.0,0.0,0.22846619288126627,-1.0
shelley_degree-gine2-sigma,ad1,3,0.3,0.0,0.2,0.0005274261603375527,0.0007458932290997337,0.0,0.0,0.025752941767374676,-1.0
shelley_degree-gine2-sigma,ad1,3,0.4,0.0,0.2,0.0012300123001230013,0.000869750038359837,0.0,0.0,0.09359296162923177,-1.0
shelley_degree-gine2-sigma,ad1,3,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.030041933059692383,-1.0
shelley_degree-gine2-sigma,ad1,3,0.6,0.0,0.2,0.0018467220683287165,0.0013058296974820822,0.0,0.0,0.09765768051147461,-1.0
shelley_degree-gine2-sigma,ad1,3,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.033793131510416664,-1.0
shelley_degree-gine2-sigma,ad1,3,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.10833255449930827,-1.0
shelley_degree-gine2-sigma,ad1,3,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.03707162539164225,-1.0
