model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_degree-gine2-sigma,edi3,10,0.1,0.2,0.0,0.022641509433962266,0.01644867525864405,0.16906942795833638,0.16343154480415065,1.049356508255005,-0.1
shelley_degree-gine2-sigma,edi3,10,0.2,0.2,0.0,0.01702127659574468,0.020846721215175983,0.1310806685801724,0.15203788574972762,1.0416960954666137,0.0
shelley_degree-gine2-sigma,edi3,10,0.3,0.2,0.0,0.014634146341463417,0.02235402778027239,0.14613380719233177,0.17357096529201207,0.9254948854446411,0.0
shelley_degree-gine2-sigma,edi3,10,0.4,0.2,0.0,0.019999999999999997,0.02231499907401901,0.11158345642274822,0.10002290987499397,0.9993752002716064,0.0
shelley_degree-gine2-sigma,edi3,10,0.5,0.2,0.0,0.03103448275862069,0.03600105692727776,0.12858894249617026,0.13927902582513418,1.1017213106155395,0.0
shelley_degree-gine2-sigma,edi3,10,0.6,0.2,0.0,0.024999999999999998,0.04249182927993988,0.08707535449608132,0.12745280101082226,1.1073700666427613,0.0
shelley_degree-gine2-sigma,edi3,10,0.7,0.2,0.0,0.044444444444444446,0.05443310539518173,0.15572392632221352,0.27247443214556283,1.0720321893692017,0.0
shelley_degree-gine2-sigma,edi3,10,0.8,0.2,0.0,0.025,0.038188130791298666,0.12975441057170772,0.14854945340951867,1.0506633043289184,0.0
shelley_degree-gine2-sigma,edi3,10,0.9,0.2,0.0,0.0,0.0,0.10255947577413815,0.08948950679984478,1.125996994972229,0.0
shelley_degree-gine2-sigma,edi3,10,0.1,0.0,0.2,0.0509433962264151,0.05136097203326867,0.21824431256872828,0.24297824665980855,1.0319782495498657,0.0
shelley_degree-gine2-sigma,edi3,10,0.2,0.0,0.2,0.023404255319148935,0.024165567428937332,0.19260482061012038,0.22394368246276827,1.222506046295166,0.0
shelley_degree-gine2-sigma,edi3,10,0.3,0.0,0.2,0.017073170731707315,0.02195121951219512,0.24165442131202797,0.23408688995863433,0.9497081756591796,0.0
shelley_degree-gine2-sigma,edi3,10,0.4,0.0,0.2,0.017142857142857144,0.022857142857142854,0.1481066378700579,0.1565616519682339,0.9362323522567749,0.0
shelley_degree-gine2-sigma,edi3,10,0.5,0.0,0.2,0.010344827586206896,0.022079738749768447,0.05923989415811054,0.09374384384522094,0.9408230304718017,0.0
shelley_degree-gine2-sigma,edi3,10,0.6,0.0,0.2,0.020833333333333332,0.02795084971874737,0.19073611661663342,0.16672705456977516,0.9343329906463623,0.0
shelley_degree-gine2-sigma,edi3,10,0.7,0.0,0.2,0.02222222222222222,0.036851386559504436,0.24738100893024742,0.21588170073048188,1.851224660873413,0.0
shelley_degree-gine2-sigma,edi3,10,0.8,0.0,0.2,0.025,0.05335936864527374,0.176124555983677,0.213275572530746,3.8475037813186646,0.0
shelley_degree-gine2-sigma,edi3,10,0.9,0.0,0.2,0.0,0.0,0.061225725199770306,0.11902837693646147,3.0330918788909913,0.0
