model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_degree-gine2-sigma,ppi,10,0.1,0.2,0.0,0.0004273504273504274,0.0005494505494505495,0.0,0.0,0.13059077262878419,-1.0
shelley_degree-gine2-sigma,ppi,10,0.2,0.2,0.0,0.0006181318681318682,0.0008383623362454467,0.0,0.0,0.12326877117156983,-1.0
shelley_degree-gine2-sigma,ppi,10,0.3,0.2,0.0,0.0008634222919937205,0.0008915083745369345,0.0,0.0,0.15275907516479492,-1.0
shelley_degree-gine2-sigma,ppi,10,0.4,0.2,0.0,0.000641025641025641,0.0007152243292954812,0.0,0.0,0.15044105052947998,-1.0
shelley_degree-gine2-sigma,ppi,10,0.5,0.2,0.0,0.0005494505494505495,0.0007371652673076229,0.0,0.0,0.15998570919036864,-1.0
shelley_degree-gine2-sigma,ppi,10,0.6,0.2,0.0,0.0002747252747252747,0.0005494505494505495,0.0,0.0,0.1613605260848999,-1.0
shelley_degree-gine2-sigma,ppi,10,0.7,0.2,0.0,0.0005494505494505495,0.0008392995778307399,0.0,0.0,0.16394288539886476,-1.0
shelley_degree-gine2-sigma,ppi,10,0.8,0.2,0.0,0.0002747252747252747,0.0008241758241758243,0.0,0.0,0.16000964641571044,-1.0
shelley_degree-gine2-sigma,ppi,10,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.17485523223876953,-1.0
shelley_degree-gine2-sigma,ppi,10,0.1,0.0,0.2,0.0006715506715506714,0.0005759451240571798,0.0,0.0,0.13215115070343017,-1.0
shelley_degree-gine2-sigma,ppi,10,0.2,0.0,0.2,0.0004120879120879121,0.0004555803283455219,0.0,0.0,0.1281726837158203,-1.0
shelley_degree-gine2-sigma,ppi,10,0.3,0.0,0.2,0.00039246467817896397,0.000526546619505445,0.0,0.0,0.13710446357727052,-1.0
shelley_degree-gine2-sigma,ppi,10,0.4,0.0,0.2,0.0006410256410256411,0.0008241758241758244,0.0,0.0,0.15049424171447753,-1.0
shelley_degree-gine2-sigma,ppi,10,0.5,0.0,0.2,0.00043956043956043956,0.0007289285253528352,0.0,0.0,0.13994596004486085,-1.0
shelley_degree-gine2-sigma,ppi,10,0.6,0.0,0.2,0.0004120879120879121,0.000629474683373055,0.0,0.0,0.14429640769958496,-1.0
shelley_degree-gine2-sigma,ppi,10,0.7,0.0,0.2,0.0007326007326007326,0.0012148808755880587,0.0,0.0,0.15425169467926025,-1.0
shelley_degree-gine2-sigma,ppi,10,0.8,0.0,0.2,0.0002747252747252747,0.0008241758241758243,0.0,0.0,0.17409286499023438,-1.0
shelley_degree-gine2-sigma,ppi,10,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.1776003360748291,-1.0
