model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_share-gine2-sgm,ad1,3,0.1,0.2,0.0,0.10098522167487685,0.011331833942399235,5.423568198780879e-05,5.247664612001871e-06,6.6707078615824384,0.0
shelley_share-gine2-sgm,ad1,3,0.2,0.2,0.0,0.05817174515235457,0.03819970377366132,1.999444991807231e-05,2.3713713795723562e-05,6.581084569295247,0.0
shelley_share-gine2-sgm,ad1,3,0.3,0.2,0.0,0.043248945147679324,0.0032512732083169707,2.734800690546885e-06,7.139947164112594e-07,6.476728121439616,0.0
shelley_share-gine2-sgm,ad1,3,0.4,0.2,0.0,0.06334563345633455,0.03534011783163258,2.0892866320993423e-05,1.549678678008723e-05,6.183391650517781,0.0
shelley_share-gine2-sgm,ad1,3,0.5,0.2,0.0,0.1108647450110865,0.024889073526212474,4.8716472148969606e-05,6.2213276631283536e-06,6.58513871828715,0.0
shelley_share-gine2-sgm,ad1,3,0.6,0.2,0.0,0.09325946445060018,0.009140807882374574,4.548178681985359e-05,6.566689270205707e-06,7.134385585784912,0.0
shelley_share-gine2-sgm,ad1,3,0.7,0.2,0.0,0.07872078720787208,0.05655382008645829,1.599973967472327e-05,1.808021998605083e-05,7.593273321787517,0.0
shelley_share-gine2-sgm,ad1,3,0.8,0.2,0.0,0.07918968692449356,0.0409320640347935,2.8730247106750034e-05,1.944255831201761e-05,8.634408553441366,0.0
shelley_share-gine2-sgm,ad1,3,0.9,0.2,0.0,0.03296703296703297,0.01554080837772632,1.386359608639238e-06,2.526841773783232e-07,10.190126975377401,0.0
shelley_share-gine2-sgm,ad1,3,0.1,0.0,0.2,0.07224958949096881,0.042260504143287976,3.409505873734058e-05,2.359815460767412e-05,5.263238986333211,0.0
shelley_share-gine2-sgm,ad1,3,0.2,0.0,0.2,0.05309325946445059,0.006816631145075439,2.2400002997142803e-05,2.1045099722667474e-05,5.356078545252482,0.0
shelley_share-gine2-sgm,ad1,3,0.3,0.0,0.2,0.04535864978902954,0.011651224701674325,7.107827947691843e-06,8.423221729412107e-06,5.519745429356893,0.0
shelley_share-gine2-sgm,ad1,3,0.4,0.0,0.2,0.03628536285362854,0.004602284608578035,2.1177505697787956e-06,1.3778269099518906e-06,5.697083234786987,0.0
shelley_share-gine2-sgm,ad1,3,0.5,0.0,0.2,0.06577974870657798,0.0229239651430463,3.113088471448794e-05,1.7656193839288867e-05,6.112635453542073,0.0
shelley_share-gine2-sgm,ad1,3,0.6,0.0,0.2,0.03508771929824561,0.013819602536561188,1.269761679097955e-05,1.6783261627606046e-05,6.669402281443278,0.0
shelley_share-gine2-sgm,ad1,3,0.7,0.0,0.2,0.03936039360393604,0.03767132307777012,1.4656124321959984e-05,1.927017175870232e-05,7.603571494420369,0.0
shelley_share-gine2-sgm,ad1,3,0.8,0.0,0.2,0.03314917127071823,0.004511030833854839,1.516986849283454e-06,8.765599519931305e-07,8.011918703715006,0.0
shelley_share-gine2-sgm,ad1,3,0.9,0.0,0.2,0.04029304029304029,0.010360538918484211,2.649102747372881e-05,1.815846797338968e-05,9.245575507481893,0.0
