model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_share-gine2-sgm,ppi,10,0.1,0.2,0.0,0.02692307692307692,0.028712292204962023,2.4312169298375002e-05,1.7223402595997583e-05,14.654537868499755,0.0
shelley_share-gine2-sgm,ppi,10,0.2,0.2,0.0,0.024313186813186814,0.025586349344780334,1.3459219542624344e-05,1.2980300865230845e-05,14.826898908615112,0.0
shelley_share-gine2-sgm,ppi,10,0.3,0.2,0.0,0.02362637362637363,0.015794253249551204,1.2998618462638556e-05,1.0225019917500337e-05,15.357573509216309,0.0
shelley_share-gine2-sgm,ppi,10,0.4,0.2,0.0,0.02838827838827839,0.021767150776565408,1.3514325176808552e-05,8.189547761703692e-06,16.05388011932373,0.0
shelley_share-gine2-sgm,ppi,10,0.5,0.2,0.0,0.02824175824175824,0.02856318562412866,1.2115664265454921e-05,1.0296234843487036e-05,17.06122145652771,0.0
shelley_share-gine2-sgm,ppi,10,0.6,0.2,0.0,0.02678571428571429,0.021511620554073938,1.419822830315669e-05,8.550484392698259e-06,18.259609198570253,0.0
shelley_share-gine2-sgm,ppi,10,0.7,0.2,0.0,0.01813186813186813,0.008490349440658799,1.2593284174298162e-05,9.96405880027823e-06,19.468482851982117,0.0
shelley_share-gine2-sgm,ppi,10,0.8,0.2,0.0,0.03186813186813187,0.03096484132660521,1.2545107930147056e-05,1.0187691807777957e-05,21.432230377197264,0.0
shelley_share-gine2-sgm,ppi,10,0.9,0.2,0.0,0.013186813186813187,0.010482848367219183,1.042401850407348e-05,7.489556359454966e-06,23.49256911277771,0.0
shelley_share-gine2-sgm,ppi,10,0.1,0.0,0.2,0.03992673992673993,0.02132421916165258,2.136948823285253e-05,2.548291849140151e-05,12.51951081752777,0.0
shelley_share-gine2-sgm,ppi,10,0.2,0.0,0.2,0.03818681318681318,0.01648408881790264,2.587089951405094e-05,2.5553893044632548e-05,12.674736166000367,0.0
shelley_share-gine2-sgm,ppi,10,0.3,0.0,0.2,0.044427001569858716,0.01978956197116251,2.7649781717639773e-05,2.211196728279999e-05,13.181071543693543,0.0
shelley_share-gine2-sgm,ppi,10,0.4,0.0,0.2,0.04752747252747253,0.01850836588328364,3.5723259562699184e-05,2.409355153939385e-05,13.88470754623413,0.0
shelley_share-gine2-sgm,ppi,10,0.5,0.0,0.2,0.04065934065934066,0.01600024151490224,2.671594335607992e-05,2.6297920417893976e-05,14.878050351142884,0.0
shelley_share-gine2-sgm,ppi,10,0.6,0.0,0.2,0.03667582417582418,0.015022851208976526,2.8757146889125743e-05,2.8398973988993423e-05,16.068666315078737,0.0
shelley_share-gine2-sgm,ppi,10,0.7,0.0,0.2,0.039194139194139194,0.017892563724278113,2.3706143580754955e-05,2.3078522522948153e-05,17.2955703496933,0.0
shelley_share-gine2-sgm,ppi,10,0.8,0.0,0.2,0.04010989010989011,0.01892217072277205,2.3142087260243773e-05,2.260278484308181e-05,19.258381628990172,0.0
shelley_share-gine2-sgm,ppi,10,0.9,0.0,0.2,0.039560439560439566,0.025393890128112842,2.9460786230101314e-05,2.349394475438392e-05,21.317961001396178,0.0
